ID,Ngày thu thập,Quốc gia,Loại robot,Dạng robot/use case,RFQ family,Custom assembly,Custom part,Geometry/feature,Coverage cell,Bought-in vs custom,Material grade,Primary process,Secondary process,Finish/coating,Heat treatment,Welding requirement,General tolerance,Critical tolerance,GD&T,Critical interface,Bearing/shaft fit,Motor/gearbox/flange interface,Thread/insert/fastening,Assembly requirement,Critical characteristic,Inspection method,Inspection equipment,FAI requirement,Material cert/traceability,Functional/leak/pressure test,Lifecycle stage,Revision intensity,Failure/rework reason,Repeat/replacement,Single/multi-process,Tooling/NRE need,Raw claim/fact,Source URL,Source type,Publication date,Confidence,Fact/inference/hypothesis,Conflict/contradiction,Unknown/gap,Notes
R0028,2026-09-20,US,Cross-category (any machined joint/link),CMM-based dimensional inspection of joint/link concentricity,joint/structural link,unknown,Machined joint/link part with toleranced bores/axes,unknown,inspection method x inspection equipment (fills Pass-3's flagged joint-family inspection gap),unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,"Roundness, flatness, perpendicularity, and coaxiality/concentricity evaluated per GD&T using CMM-constructed feature axes",unknown,unknown,unknown,unknown,unknown,"Coaxiality/concentricity between mating bores/axes, which the source states is extremely difficult to assess reliably with traditional gauges","Programmable/motorized CMM measurement, either manual, Direct Computer Control (DCC), or scripted automated program","Coordinate measuring machine (fixed-bridge/gantry CMM, distinguished in the source from a portable CMM arm, which is not accurate enough for high-precision concentricity metrology)",unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,"CMMs test machined parts/assemblies against design intent and assess geometric characteristics (roundness, flatness, perpendicularity) via GD&T; coaxiality/concentricity specifically is evaluated by constructing feature axes on the CMM, because it is extremely difficult to assess reliably with traditional gauges; a portable CMM arm is not accurate enough for this class of high-precision metrology compared to a fixed/gantry CMM.",https://en.wikipedia.org/wiki/Coordinate-measuring_machine ; https://hexagon.com/products/product-groups/measurement-inspection-hardware/coordinate-measuring-machines,Reference encyclopedia + named metrology-OEM (Hexagon) product page,"unknown, retrieved 2026-09-20",documentation_verified,fact,none,Not tied to a specific robot-joint drawing; generic metrology-practice evidence,Fills the joint/structural-link family's flagged 'no joint-specific inspection method confirmed' gap from Pass 3
R0029,2026-09-20,"US/Canada (named OEM, Robotiq)",Industrial arm/cobot end-of-arm-tooling,Robotiq 2-Finger 85/140 adaptive gripper fingertip and coupling interface,gripper jaw/finger,Gripper module,Interchangeable fingertip (part-numbered) + mechanical coupling,Fingertip geometry varies by gripper stroke model (85mm vs 140mm); coupling interface passes both mechanical load and electrical power/communication,bought-in vs custom x repeat/replacement,Bought-in standard catalog product; fingertips are customer-replaceable/customizable inserts,unknown,unknown,unknown,unknown,unknown,None,unknown,unknown,unknown,Gripper-to-robot-wrist mechanical coupling (GRP-CPL-062) carrying both mechanical mounting load and electrical/communication pass-through,unknown,unknown,4 mm hex key used to mount gripper onto its coupling,Gripper is fixed directly to the mechanical coupling; gripper cannot operate without the coupling since power/communication pass through it,Fingertip-to-object fit determines grip reliability across different object geometries,unknown,unknown,unknown,unknown,unknown,Production (shipping catalog product),unknown,unknown,"Named, part-numbered interchangeable fingertips confirmed for a real commercial gripper line: 2-Finger-85 uses fingertip AGC-TIP-204-085, 2-Finger-140 uses AGC-TIP-420-140, swapped for a perfect fit to each object",unknown,unknown,"Robotiq's adaptive 2-Finger grippers use named, part-numbered interchangeable fingertips (e.g., AGC-TIP-204-085 for the 2F-85, AGC-TIP-420-140 for the 2F-140) for a perfect fit to different objects, mounted to the robot wrist via a mechanical coupling (e.g., GRP-CPL-062) that also passes electrical power and communication, installed with a 4mm hex key.",https://robotiq.com/products/adaptive-grippers ; https://assets.robotiq.com/website-assets/support_documents/document/online/2F-85_2F-140_TM_InstructionManual_HTML5_20190503.zip/2F-85_2F-140_TM_InstructionManual_HTML5/Content/6.%20Specifications.htm,Named-OEM product documentation (Robotiq instruction manual),"2019-05-03 manual revision, retrieved 2026-09-20",documentation_verified,fact,none,Fingertip material/tolerance not extracted from available manual excerpt,"First named-OEM primary-documentation source (not marketing copy) for this family; directly answers Pass-3's flagged 'deep-but-unverified, all vendor marketing' weakness with a real, citable part-numbered product manual"
R0030,2026-09-20,US (patent),Cross-category (robotic gripper EOAT),Quick-change finger mechanism for robotic gripper,gripper jaw/finger,unknown,Quick-change gripper finger,"unknown (mechanism-level patent, geometry not extracted)",repeat/replacement x assembly requirement (independent patent corroboration),unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Quick-change finger-to-gripper-body interface,unknown,unknown,unknown,"Finger designed to be swapped without full gripper teardown, per patent title/claims",unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Patented quick-change finger mechanism exists specifically to make gripper-finger replacement fast/repeatable,unknown,unknown,"US Patent 8,382,177 B2, 'Quick-change finger for robotic gripper', patents a mechanism for rapidly swapping gripper fingers, independently corroborating that quick-change/interchangeable finger design is an established, patented engineering pattern for this family (not solely a vendor marketing claim).",https://patents.google.com/patent/US8382177,US patent,"Granted patent, retrieved 2026-09-20",documentation_verified,fact,none,Full claims/drawings not fetched; geometry and tolerance detail unknown,"Second independent, non-vendor primary source (patent) for the repeat/replacement coverage cell in this family"
R0031,2026-09-20,US,Cross-category (parallel/wedge jaw gripper),Wedge-type parallel-jaw gripper tolerance for grip synchronization,gripper jaw/finger,unknown,Wedge-drive parallel jaw pair,Wedge contact surfaces driving two opposed jaw faces to close in parallel,critical tolerance x GD&T (independent cross-check of Pass-3's vendor-only tolerance numbers),unknown,unknown,unknown,unknown,unknown,unknown,None,unknown,Wedge contact surfaces held to +/-0.01 mm; jaw-face parallelism held to 0.05 mm over full stroke,Parallelism between the two jaw faces over full stroke,Wedge-to-jaw contact surface driving synchronized jaw closure,unknown,unknown,unknown,unknown,Backlash on the wedge contact surface causes the two fingers to reach the part at slightly different times; parallelism error beyond 0.05mm over full stroke drops grip force 30-50%,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Backlash/out-of-tolerance wedge surfaces or jaw-face parallelism directly cause asynchronous jaw contact and grip-force loss,unknown,unknown,unknown,"For wedge-type parallel-jaw grippers, wedge contact-surface tolerance is typically held to +/-0.01mm (any backlash causes the two fingers to reach the part at slightly different times), and jaw-face parallelism should hold to 0.05mm over the full stroke or grip force drops 30-50%.",https://www.machinedesign.com/markets/robotics/article/21833348/the-difference-between-robotic-grippers-with-parallel-three-finger-and-angled-designs,Trade press / independent engineering media (Machine Design),"unknown, retrieved 2026-09-20",documentation_verified,fact,none,Not tied to one named OEM gripper; generic engineering-press tolerance guidance,"Independent trade-press numeric tolerance data, corroborating (with different numbers/context) Pass-3's DakingsRapid-sourced jaw tolerance claim -- reduces single-vendor dependence"
R0032,2026-09-20,US,Cross-category (hard gripper jaw / chuck-style jaw),Gripper jaw tool-steel material and heat-treatment selection,gripper jaw/finger,unknown,Hardened gripper jaw / chuck-style gripper jaw insert,unknown,material grade x heat treatment (independent cross-check),Custom or catalog insert,M-2 high-speed steel (round/square steel grippers); D2 tool steel alternative for higher toughness/dimensional stability at 600-650F service,CNC/grinding machining,Heat treatment (hardening) + black oxide finish,Black oxide finish,Hardened to Rc 60/62 (M-2); tool steels recommended to stay above Rc 58 for an order-of-magnitude better wear resistance,None,unknown,unknown,unknown,Jaw-to-workpiece grip contact face,unknown,unknown,unknown,unknown,Hardness above Rc58 is the threshold for materially better wear resistance in gripper-jaw service,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Jaw hardness below Rc58 leads to materially faster wear,unknown,Multi-process (machine + heat treat + black oxide),unknown,"Round and square steel grippers/jaw inserts are made from M-2 high-speed steel, hardened to Rc 60/62 with a black-oxide finish; D2 tool steel is an alternative offering more toughness/dimensional stability at 600-650F service; there is an order-of-magnitude improvement in wear resistance for tool steels at or above Rc 58, so jaws are recommended to be kept above that hardness.",https://ctemag.com/products/gripper-inserts/ ; https://www.eng-tips.com/threads/material-selection-for-gripper-jaw.115431/,Trade publication (Cutting Tool Engineering) + engineering forum,"unknown, retrieved 2026-09-20",documentation_verified,fact,none,Not tied to a named robot-gripper OEM part; generic tool-steel gripper-jaw/chuck-jaw material practice,"Independent, non-vendor-marketing source for material/heat-treatment cell, corroborates but does not duplicate Pass-3's A2/D2 vendor claim (different numeric hardness range and different named alloy, M-2)"
R0033,2026-09-20,unknown (academic),Cross-category (soft/compliant gripper),Compliant/soft fingertip material selection for grasp without slip/damage,gripper jaw/finger,unknown,Soft/compliant fingertip pad,Rib-like surface pattern on fingertip for grip while conforming to object geometry,"material grade x geometry (soft-gripper variant, distinct sub-branch of this family)",Custom,PLA (3D-printed finger body) + molded silicone soft pad; alternative 95A-durometer TPU fingertip material,3D printing (FDM),Silicone molding (soft pad),unknown,unknown,None,unknown,unknown,unknown,Fingertip-to-object contact patch,unknown,unknown,unknown,unknown,Soft-material selection controls contact-patch pressure distribution and grasp without slip/damage; rib pattern maintains rigidity while conforming to object geometry for secure grasp,unknown,unknown,unknown,unknown,unknown,Research/prototype,unknown,unknown,unknown,Multi-process (3D print rigid body + mold/cast soft pad),unknown,"Academic contact-mechanics research on compliant robotic fingerpads uses 3D-printed PLA finger bodies with molded silicone soft gripping components, and separately documents 95A-durometer TPU fingertips with a rib-like surface pattern that maintains rigidity while conforming to object geometry for a more secure grasp; soft-material selection is described as vital to holding objects without slip or damage.",https://www.frontiersin.org/journals/mechanical-engineering/articles/10.3389/fmech.2022.966335/full,Academic/peer-reviewed paper (Frontiers),"2022, retrieved 2026-09-20",documentation_verified,fact,none,"Research-prototype level, not a named commercial robot gripper","Broadens the family beyond hard/metal jaws into the compliant-fingertip sub-branch, with real academic material/process detail"
R0034,2026-09-20,US,AMR/mobile robot,Welded frame assembly GD&T/tolerance practice,welded frame/chassis,Welded chassis frame,Welded frame with machined bolt-pattern pads/brackets,Frame rail assembly with welded joints and machined mounting pads/brackets,tolerance/GD&T x critical tolerance (independent numeric source),Custom,unknown,Welding (frame),Post-weld machining of mounting pads/brackets,unknown,unknown,Welded chassis frames typically warp/twist slightly from weld heat effects; acceptable tolerance limits typically run to +/-8 mm along any axis from nominal design-intent size,"+/-8 mm along any axis from nominal design-intent size (as-welded frame, before post-weld machining)","Bolt-pattern true position at MMC: Ø0.3-0.6 mm for machined components, Ø0.8-1.5 mm for as-welded pierced plates; frame-rail assembly gaps toleranced 1/8 to 3/8 in to allow axial positioning of components","True position (MMC modifier) applied to bolt patterns on pads/brackets, differentiated by whether the feature is machined post-weld or as-welded/pierced",Machined mounting pad/bracket bolt patterns on an otherwise as-welded frame,unknown,unknown,unknown,Frame-rail gaps toleranced generously (1/8-3/8 in) specifically to allow components to be axially repositioned during final assembly to absorb weld-induced variation,Weld-heat-induced warp/twist must be bounded (+/-8mm) before post-weld machining can bring critical features back into tighter positional tolerance,unknown,unknown,unknown,unknown,unknown,unknown,unknown,As-welded distortion exceeding tolerance requires either rework/straightening or reliance on oversized assembly gaps to compensate,unknown,Multi-process (weld then post-weld machine critical features),unknown,"Welded chassis frames typically experience slight warping/twisting from weld heat, with acceptable tolerance limits commonly to +/-8mm along any axis from nominal design intent; bolt patterns on pads/brackets are toleranced by true position at MMC, Ø0.3-0.6mm if the feature is machined post-weld versus Ø0.8-1.5mm if it is an as-welded/pierced plate; frame-rail assembly gaps are toleranced 1/8-3/8in to allow axial positioning of components to absorb this variation.",https://ablehardware.com/how-to-specify-tolerances-for-welded-frame-assemblies/,Fabricator technical guide,"2026, retrieved 2026-09-20",vendor-claimed,fact,none,Not tied to a named robot-OEM chassis; generic welded-frame-assembly engineering guidance,"Independent numeric source (Able Hardware, distinct vendor) that goes well beyond Pass 3's generic squareness/true-position claim, with as-welded vs post-machined distinction"
R0035,2026-09-20,Global standard (ISO),Cross-category (welded chassis/frame/machine base),Weld-quality acceptance-level selection for chassis vs precision base,welded frame/chassis,unknown,Welded frame/cart chassis or machine base,unknown,inspection x critical characteristic (weld quality level),Custom,unknown,Welding,unknown,unknown,unknown,ISO 5817 weld-quality Level C recommended for non-critical cart/chassis frames; Level B recommended for machine bases or precision mounting pads,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Weld quality acceptance level (ISO 5817 B vs C) selected based on whether the weldment is a precision mounting/machine-base structure or a non-critical cart/chassis frame,Weld-quality inspection per ISO 5817 acceptance criteria appropriate to the selected level (B or C),unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,"ISO 5817 weld-quality levels are applied differentially by structure criticality: Level C recommended for non-critical cart/chassis frames, Level B recommended for machine bases or precision mounting pads.",https://ablehardware.com/how-to-specify-tolerances-for-welded-frame-assemblies/,Fabricator technical guide,"2026, retrieved 2026-09-20",vendor-claimed,fact,none,Not tied to a named robot OEM chassis,"Fills Pass-3's flagged 'no inspection' gap for this family with a real named weld-inspection standard reference (ISO 5817), distinct from Pass 3's ISO 15614 WPS/PQR citation"
R0036,2026-09-20,Global standard (AWS/ISO),Cross-category (welded chassis/frame),Weld procedure/welder qualification and inspection witnessing practice,welded frame/chassis,unknown,Welded frame/chassis joint,unknown,inspection method x FAI-equivalent (weld qualification),unknown,unknown,Welding,unknown,unknown,unknown,"WPS (Welding Procedure Specification) defines how the weld is to be performed; PQR (Procedure Qualification Record) documents the actual single-value results of the qualification test weld (not a range, unlike the WPS); WPQ certifies the individual welder's ability to weld to the qualified procedure",unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,"Visual inspection for surface defects (cracks, undercut, lack of fusion) plus mechanical testing and/or non-destructive testing (radiography, ultrasonic) of the test coupon; joint assembly, welding, and final visual inspection must be witnessed by an AWS-accredited Certified Welding Inspector (CWI) or independent inspection agency","Radiographic and ultrasonic NDT equipment (for qualification testing), visual inspection by CWI","Procedure Qualification Record (PQR) functions as the weld-process equivalent of a first-article record: it captures a single recorded value per variable actually used on the qualification coupon, versus the WPS's allowed range",unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,"Weld qualification uses three linked documents: WPS (defines how the weld should be done, with allowed ranges), PQR (records the single actual values used and results for the qualification test coupon), and WPQ (certifies the individual welder). The qualification test coupon is checked by visual inspection for surface defects (cracks, undercut, lack of fusion) plus mechanical and/or non-destructive testing (radiography, ultrasonic), and the joint assembly/welding/final visual inspection must be witnessed by an AWS-accredited Certified Welding Inspector or independent inspection agency.",https://kta.com/welding-procedure-qualification-testing/ ; https://goldeninspection.com/2020/01/04/guide-to-understanding-wps-pqr-wpqr/,Standards/inspection-agency technical explainer,"unknown, retrieved 2026-09-20",documentation_verified,fact,none,Not tied to a named robot OEM's actual PQR; generic weld-qualification-industry standard practice,"Deepens Pass-3's bare ISO 15614/WPS/PQR citation with the actual inspection-method detail (CWI witnessing, visual+NDT) it lacked"
R0037,2026-09-20,US,AMR/mobile robot,AGV/AMR chassis fastening approach (bolt-on vs welded-in components),welded frame/chassis,AGV chassis assembly,Sub-frame + body panels,Sub-frame covered by body panels; fasteners positioned to be visible only from inside the body for a fastener-free exterior,thread/fastening x assembly requirement,Custom,unknown,unknown,unknown,unknown,unknown,"unknown (patent describes a welded/fastened sub-frame + panel system, weld specifics not detailed in retrievable summary)",unknown,unknown,unknown,Panel-to-sub-frame fastening interface (inboard bosses),unknown,unknown,"Screws, rivets, interference-fit pins, heat stakes, and mechanical stakes are all used as AGV chassis fastening methods; fasteners extend from an inboard face of the chassis into corresponding bosses on the inboard surface of panels","Fasteners deliberately positioned so they are visible only from inside the body, for a fastener-free exterior surface appearance",unknown,unknown,unknown,unknown,unknown,unknown,Production (patented commercial AGV design),unknown,unknown,unknown,unknown,unknown,"A US patent on an autonomous-ground-vehicle chassis assembly describes multiple fastening methods used together (screws, rivets, interference-fit pins, heat stakes, mechanical stakes) with fasteners extending from an inboard chassis face into bosses on the inboard surface of body panels, deliberately positioned to be invisible from outside the vehicle body.",https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/10946912,US patent,"Granted patent, retrieved 2026-09-20",documentation_verified,fact,none,Weld-specific detail not disclosed in this fastening-focused patent section,Fills Pass-3's flagged 'no fastening/assembly evidence' gap for this family with a named-context (AGV) patent source
R0038,2026-09-20,"unknown (academic, automotive precedent)","Cross-category (adjacent: automotive welded structural component, applied by analogy to AMR/robot welded chassis)",Welded-component fatigue-crack failure root cause and repair,welded frame/chassis,Welded structural component (control-arm-class),Stamped-and-welded steel structural member,unknown,"failure/rework reason x repeat/replacement (independent, peer-reviewed second failure case)",unknown,High-strength low-alloy (HSLA) steel,Stamping,Robotic welding,unknown,unknown,"Fatigue cracks initiated near the weld bead specifically at the start of the welding procedure, where excessive heat had fully altered the steel's microstructure and created a stress concentration",unknown,unknown,unknown,Weld-bead-to-base-metal heat-affected zone,unknown,unknown,unknown,unknown,Microstructure change and stress concentration at the weld start point drove fatigue crack initiation under standardized cyclic loading,unknown,unknown,unknown,unknown,unknown,In-service (failure analysis of a fielded/tested component),unknown,"Fatigue crack initiation near the weld bead at the welding-procedure start point, caused by localized excessive heat altering the base-metal microstructure and creating a stress concentration -- a distinct, independently documented failure mode from Pass 3's chassis-twist/sensor-misalignment case study",unknown,Multi-process (stamp + robotic weld),unknown,"A peer-reviewed failure analysis of a robot-welded, stamped HSLA-steel structural component found fatigue cracks initiated near the weld bead specifically at the start of the welding procedure, where excessive localized heat had completely altered the steel's microstructure and created a stress concentration, under standardized cyclic fatigue-load blocks.",https://www.researchgate.net/publication/275220326_Fatigue_Failure_of_a_Welded_Automotive_Component,Academic/peer-reviewed paper,"unknown, retrieved 2026-09-20",documentation_verified,fact,none,"Automotive control-arm component, not a robot chassis; applied by mechanical analogy to welded robot/AMR frames and flagged explicitly as adjacent-domain evidence","Second genuine, independently sourced weld failure-mode case study for this family (Pass 3 had only one, its own chassis-twist case)"
R0039,2026-09-20,unknown (academic),Cross-category (dissimilar-metal welded structure),Robotic crack detection and repair welding restoring fatigue life,welded frame/chassis,Dissimilar-metal welded joint (AISI 316L stainless to ASTM A36 steel),Welded joint requiring in-service crack repair,unknown,repeat/replacement x functional test (fatigue life measured before/after repair),unknown,AISI 316L stainless steel welded to ASTM A36 carbon steel (dissimilar-metal joint),Original: unknown; repair: robotic ER309L gas metal arc welding,"High-resolution imaging, laser profilometry, and eddy-current inspection for crack characterization prior to repair",unknown,unknown,Localized robotic ER309L GMAW repair following a severity-resolved repair trajectory computed from the digitally registered crack path,unknown,unknown,unknown,Dissimilar-metal weld joint (stainless-to-carbon-steel),unknown,unknown,unknown,unknown,Post-repair ultimate tensile strength and fatigue life at a defined stress level are the measured functional pass criteria,"High-resolution imaging, laser profilometry, and eddy-current inspection to quantify crack characteristics","Laser profilometer, eddy-current inspection equipment, high-resolution imaging system",unknown,unknown,Fatigue testing at 180 MPa; ultimate tensile strength test,In-service repair/refurbishment,unknown,Fatigue cracking in a dissimilar-metal (stainless/carbon-steel) welded structural joint,"Robotic repair-welding restored the joint in place rather than replacing the structure: post-repair ultimate tensile strength rose from 382+/-21 MPa to 512+/-16 MPa, and fatigue life at 180 MPa rose from 3.6x10^4 to 1.05x10^5 cycles",Multi-process (inspection + localized robotic re-weld),unknown,"A peer-reviewed autonomous robotic workflow for assessing and repairing fatigue cracks in an AISI 316L stainless-to-ASTM A36 dissimilar welded joint used high-resolution imaging, laser profilometry and eddy-current inspection to quantify crack characteristics, then applied localized robotic ER309L GMAW repair along a severity-resolved trajectory; post-repair ultimate tensile strength rose from 382+/-21 MPa to 512+/-16 MPa and fatigue life at 180 MPa rose from 3.6x10^4 to 1.05x10^5 cycles.",https://link.springer.com/article/10.1007/s11661-026-08331-8,Academic/peer-reviewed paper (Metallurgical and Materials Transactions A),"2026, retrieved 2026-09-20",documentation_verified,fact,none,"Not confirmed as a robot-chassis-specific joint; generic dissimilar-metal welded-structure repair case, applicable by analogy to a repaired/repaired-in-place welded robot chassis (repeat/replacement behavior: repair vs full replace)","Directly and richly fills the 'repeat/replacement' and 'functional test' cells this family lacked entirely in Pass 3, with real numeric before/after fatigue-life and strength data"
R0040,2026-09-20,US,AMR/mobile robot,Sheet-metal cover panel bend design for a robot enclosure,sheet-metal enclosure,Enclosure panel set,Formed sheet-metal cover/door panel,"Bent flange, inside bend radius, door/cover panel with mounting-flange height",geometry/feature x material (gauge/bend),Custom,Aluminum 6061 (bend radius increased to 1.5t or larger to prevent grain cracking) or steel; 12-gauge minimum recommended for doors larger than ~600x800mm,Laser cutting + press-brake bending,unknown,unknown,unknown,"None (formed, not welded, for this feature)",Standard laser-cut + bent linear dimensions held to +/-0.45 mm and hole diameters to +/-0.12 mm; bend angle +/-1.0 degree standard,"Precision-tier: linear +/-0.20 mm, hole diameter +/-0.08 mm, bend angle +/-0.5 degree",unknown,unknown,unknown,unknown,unknown,"Minimum flange height must be at least 2x material thickness plus inside bend radius (2t + Ri); tight internal radii get harder to hold as thickness increases (e.g., a 3mm bend in 4.5mm plate needs a wider die, changing flange geometry and potentially breaking mounting-hole patterns)",Bend-radius-to-thickness ratio and die selection directly determine whether a designed flange/mounting-pattern geometry is actually achievable,unknown,unknown,unknown,unknown,unknown,unknown,unknown,"Undersized gauge (e.g., 14-gauge on doors over ~600x800mm) or bend radius too tight for thickness are named as common design mistakes requiring rework",unknown,"Single-process (cut + bend, no weld) for this panel type","Bend die selection changes with plate thickness (wider die needed for thicker plate), which can conflict with existing flange/hole-pattern designs","Sheet-metal enclosure design guidance: inside bend radius should be roughly 1x material thickness for most steels, increased to 1.5t or more for 6061 aluminum to prevent grain cracking; standard laser-cut+bent tolerances hold linear dimensions to +/-0.45mm and holes to +/-0.12mm (tightening to +/-0.20mm/+/-0.08mm on precision work), with minimum flange height = 2x thickness + inside bend radius; 12-gauge is recommended as the practical minimum for enclosure doors larger than about 600x800mm.",https://www.komacut.com/blog/sheet-metal-tolerances-guide/ ; https://sheetmetalmfg.com/sheet-metal-bend-radius-guide-2026-how-to-choose-the-right-inside-radius/ ; https://www.rapiddirect.com/blog/sheet-metal-enclosures-design-manufacturing-guide/,"Manufacturing-platform/fabricator technical guides (multiple, independent)","2026, retrieved 2026-09-20",vendor-claimed,fact,none,"Not tied to a named robot-OEM enclosure part; generic sheet-metal design-guide numbers, but from 3 independent fabricator/platform sources agreeing on the same order of magnitude","Fills Pass-3's total gap on real geometry/tolerance numbers for this family, previously its weakest alongside sensor/camera mount"
R0041,2026-09-20,US,AMR/mobile robot,IP65/IP66-rated welded sheet-metal enclosure seam design,sheet-metal enclosure,Sealed electronics/battery enclosure,Welded sheet-metal frame with sealing-critical seams,Continuous or stitch-welded seams on all sealing-critical joints; ground/finished welds to remove spatter and pinholes,welding requirement x critical interface (sealing),Custom,unknown,Sheet-metal fabrication (cut/form),"Continuous or stitch welding on sealing seams, then grinding/finishing",unknown,unknown,"Spot welding cannot achieve IP66; continuous or stitch welding required along all sealing-critical seams, ideally via Cold Metal Transfer (CMT) welding for a continuous sealed seam with minimal distortion",unknown,unknown,unknown,Weld seam sealing interface; cover/door-to-body gasket mating surface,unknown,unknown,unknown,Gaps between covers/doors and mating surfaces must be minimized and consistent for proper gasket compression; continuous one-piece (bonded/molded) gaskets preferred over segmented/mitered-corner gaskets because every corner joint in a segmented gasket is a potential leak path,"IP rating is a system outcome requiring gasket, welding, cable entry, hardware, coating, and pressure equalization to all be co-designed","unknown (implied leak/pressure test for IP rating, not itemized in this source)",unknown,unknown,unknown,"unknown (IP65/IP66 rating implies a water-ingress test, not itemized by name/standard in this source)",unknown,unknown,Spot-welded seams or segmented/mitered gaskets are named failure points that prevent achieving IP66,unknown,Multi-process (form + continuous/stitch weld + grind + gasket assembly),unknown,"IP65/IP66-rated sheet-metal enclosures require continuous or stitch welding (not spot welding) along all sealing-critical seams -- Cold Metal Transfer (CMT) welding is cited as ideal for a continuous, minimally-distorted sealed seam -- followed by grinding/finishing to remove spatter/pinholes; continuous one-piece gaskets outperform segmented ones because every corner joint in a segmented gasket is a leak path, and gap consistency between covers/doors and mating surfaces is required for proper gasket compression.",https://www.insidemetalfab.com/technical-news/ip65-vs-ip66-enclosure-design-guide/,Fabricator technical guide,"2026, retrieved 2026-09-20",vendor-claimed,fact,none,Not tied to a named robot-OEM enclosure; generic IP-rated-enclosure engineering practice,Fills the welding-requirement + sealing-critical-interface cells this family lacked in Pass 3; also cross-relevant to battery/electronics-enclosure and pressure/sealed-housing families
R0042,2026-09-20,US,Cross-category (any sheet-metal enclosure),"PEM self-clinching fastener use in enclosures, inspection/quality practice",sheet-metal enclosure,unknown,Sheet-metal enclosure panel with self-clinching fastener inserts,Punched mounting hole receiving a self-clinching fastener,thread/fastening x inspection/FAI,unknown,unknown,unknown,Self-clinching fastener installation (press),Powder coat (compatible with SpotFast concealed self-clinching fasteners),unknown,unknown,unknown,unknown,unknown,Fastener-to-sheet clinch joint; grounding path across a powder-coated joint,unknown,unknown,"Self-clinching fasteners (e.g., PEM SpotFast) preferred over spot welding/stud welding/screwing for enclosures for lower production cost, less prep work, and ability to join dissimilar materials","Because paint/powder coat is an insulating layer, electrical ground paths across a coated joint require masked areas, serrated washers, grounding studs, conductive gaskets, or designated bonding points",Electrical grounding continuity across a powder-coated enclosure joint is a named design risk requiring specific mitigation,Optical measurement and CMM inspection,"CMM, optical measurement equipment",FAI and material certificates available under an AS9100 quality system,Material certificates available under AS9100 system,unknown,unknown,unknown,Ungrounded/insufficiently bonded powder-coated joints are a named electrical risk,unknown,unknown,unknown,"Self-clinching fasteners (PEM brand, e.g. SpotFast) are used in sheet-metal enclosures instead of spot welding/stud welding/screwing for lower cost, less prep, and dissimilar-material joining, and can be concealed under paint/powder coat; because paint/powder coat insulates, ground paths across a coated joint require masked areas, serrated washers, grounding studs, conductive gaskets, or designated bonding points. Inspection with optical measurement and CMM under an AS9100 system, with FAI and material certificates, is offered by enclosure fabricators.",https://www.pemnet.com/industries/sheet-metal-metal-enclosures/ ; https://catalog.pemnet.com/category/pem-brand-self-clinching-and-broaching-fasteners,Named component-OEM technical documentation (PennEngineering/PEM),"unknown, retrieved 2026-09-20",vendor-claimed,fact,none,Not tied to a named robot OEM enclosure; generic PEM/industry practice,Fills inspection/FAI/material-cert cells for this family; PEM is a diversifying named-component source distinct from generic fabricator marketing
