ID,Ngày thu thập,Quốc gia,Loại robot,Dạng robot/use case,RFQ family,Custom assembly,Custom part,Geometry/feature,Bought-in vs custom,Material grade,Primary process,Secondary process,Finish/coating,Heat treatment,Welding requirement,General tolerance,Critical tolerance,GD&T,Critical interface,Thread/insert/fastening,Assembly requirement,Critical characteristic,Inspection method,Inspection equipment,FAI requirement,Material cert/traceability,Lifecycle stage,Revision intensity,Failure/rework reason,Repeat/replacement,Single/multi-process,Tooling/NRE need,Raw claim/fact,Source URL,Source type,Publication date,Confidence,Fact/inference/hypothesis,Unknown/gap,Notes
R023,2026-09-19,US,Humanoid/general-purpose,Bipedal humanoid knee/hip joint,joint/link,Knee/hip joint module,Joint housing with bearing bore,"Bearing bore + gearbox interface + motor mount, per issue's own worked example",Custom housing; bearing/reducer/motor bought-in,"6061-T6 (housings), 7075 (structural flanges), Ti-6Al-4V (high-stress shafts) — vendor generalization",5-axis continuous milling (cited as necessary to mitigate setup errors and guarantee bearing-bore concentricity),unknown,unknown,unknown,None,Standard CNC tolerance ±0.01 mm (vendor baseline),"Critical features (bearing seats, precision holes, shafts) down to ±0.005 mm; high-stress knee/hip joints to ±0.0005 in; bearing-bore press-fit limits +0.000/-0.012 mm",Bearing-bore concentricity 0.0002 in as a cited baseline for high-performance bipedal platforms; perpendicularity held to within 0.0004 in; sealing-surface Ra 0.8,Bearing bore / gearbox interface / motor mount (matches issue's own named critical-interface example),unknown,Press fit of bearing into bore (walk risk if oversized),Bearing-bore concentricity/perpendicularity controls joint runout and gear-mesh quality,"unknown (implied CMM given the sub-micron tolerances claimed, not explicitly stated)",unknown,unknown,unknown,unknown,unknown,Bearing walk (bore too loose) or bearing/gear deformation (bore too tight); hydraulic-fluid/grease sealing failure if Ra 0.8 not met,unknown,"Multi-process (5-axis milling of multiple mating features in one setup, per vendor rationale)",None (machining only),"Vendor technical page on humanoid robot joint CNC machining states: standard CNC tolerance ±0.01 mm, critical features to ±0.005 mm; bearing-bore concentricity of 0.0002 in as the baseline for high-performance bipedal platforms with perpendicularity within 0.0004 in; achieving ±0.0005 in on high-stress knee/hip joints dictates 5-axis continuous milling to guarantee bearing-bore concentricity; bearing-bore press fits demand +0.000/-0.012 mm to prevent bearing walk; sealing surfaces require Ra 0.8 to prevent hydraulic-fluid bypass or grease migration into electronics; materials: 6061-T6 for housings, 7075 for structural flanges, Ti-6Al-4V for high-stress shafts, bearing-bore tolerances H6/H7.",https://www.dakingsrapid.com/en_us/humanoid-robot-joint-cnc-machining-tolerances-specs/,Manufacturer/vendor site (China-based CNC/rapid-manufacturing supplier),unknown,supplier_marketing,"fact (vendor-claimed, internally detailed and consistent, but not independently verified or tied to a named humanoid OEM's actual drawing)","Not confirmed against any named OEM's real drawing; treated as vendor-claimed throughout, per issue's instruction not to promote vendor claims to independent fact","This is the single richest tolerance/GD&T source found for the joint/link family and matches the issue's own worked example almost exactly (bearing bore + gearbox interface + motor mount + concentricity + hard-anodize-adjacent finish discussion) — flagged clearly as vendor-claimed, not verified"
R024,2026-09-19,US,Inspection/field robot,Quadruped inspection robot (industrial/field use),joint/link,Leg/body structure,"unknown (body/leg structural parts, not itemized)",unknown,unknown,Carbon fibre and aluminium body; Kevlar belly protection (ANYbotics ANYmal),unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Production (fielded commercial industrial-inspection quadruped),unknown,unknown,unknown,unknown,unknown,"Oxford Robotics Institute's robot-platform page states the ANYbotics ANYmal quadruped robot is made of carbon fibre and aluminium, with a Kevlar belly for protection.",https://ori.ox.ac.uk/robots/ghost,University robotics-lab platform page,unknown,documentation_verified,fact,"No part-level (housing/joint/link) material, process, or tolerance breakdown — only overall platform material composition","University source names materials at the whole-platform level, not broken down to individual joint/link parts"
R025,2026-09-19,US,Inspection/field robot,Quadruped inspection robot (industrial/field use),joint/link,Leg/body structure,unknown,unknown,unknown,Aluminum and composites (Ghost Robotics Vision 60),unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Production (fielded quadruped platform),unknown,unknown,unknown,unknown,unknown,A market/aggregator source (semianalysis newsletter on the quadruped market) states the Ghost Robotics Vision 60 is constructed of aluminum and composites.,https://newsletter.semianalysis.com/p/quadruped-state-of-the-market-unitree,"Industry-analyst newsletter (secondary aggregator, not primary OEM spec)",unknown,industry_estimate,"fact (as reported by a secondary analyst source, not verified against Ghost Robotics' own spec sheet)",No part-level detail; secondary-source confidence only,Lower confidence than R024 because it is a secondary market-analysis aggregator rather than the OEM/university-affiliated source
R026,2026-09-19,US,Cobot/industrial arm/machine tending,Collaborative arm joint/link assembly,joint/link,Robot arm tool-mount flange interface,End-effector mounting flange,"Circular plate flange with defined pitch-circle diameter (PCD), centering collar, bolt pattern",Custom flange machined to a standardized interface geometry,unknown,"unknown (implied CNC machining, not explicit in the standard itself)",unknown,unknown,unknown,None,"unknown (ISO 9409-1 defines dimensions/designation, not shop-floor tolerances directly)",unknown,"Flange interface geometry standardized: PCD, centering-collar diameter, drilling pattern, outer diameter (e.g. ISO 9409-1-50-4-M6: 50 mm PCD, 4x M6)",Robot-to-end-effector mechanical interface (tool flange) — an ISO-standardized mating interface,"Bolt pattern per flange type (e.g., 4x M6 on 50 mm PCD)",unknown,Interchangeability/orientation-keeping of hand-mounted end effectors across manufacturers,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,None,"ISO 9409-1:2004 defines the mechanical interface (circular plate) between an industrial robot and its tool/end-effector — main dimensions, designation and marking — intended to ensure exchangeability and keep orientation of hand-mounted end effectors; common configurations cited include ISO 9409-1-50-4-M6, ISO 9409-1-40-4-M6, ISO 9409-1-31.5-4-M5.",https://www.iso.org/standard/36578.html,International standard (ISO),2004,documentation_verified,fact,"Standard defines geometry/designation, not manufacturing tolerance/process/material — those remain shop-specific and unknown","This is the strongest, most authoritative critical-interface source in the entire dataset (an actual ISO standard) — directly matches the issue's named critical-interface example 'robot flange'"
R027,2026-09-19,US,Humanoid/general-purpose,Bipedal humanoid actuator (rotary/linear joint actuator),joint/link,Actuator housing (heat-sink-integrated),Actuator housing,Cooling channels machined directly into the aluminum frame component,Custom,"Aluminum alloy (frame, unspecified grade); titanium (joints, unspecified grade); carbon fiber panels (insulation)",Machining (cooling channels machined directly into frame),unknown,unknown,unknown,unknown,unknown,unknown,unknown,Actuator housing as integrated heat sink (thermal + structural dual function),unknown,unknown,Thermal management integrated into mechanical design; continuous operation generates heat in motor windings and reducer oil film,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,"Third-party actuator-industry blog content describes Tesla Optimus actuator housings with cooling channels machined directly into aluminum frame components as part of an integrated thermal-management approach, an aluminum-alloy frame for thermal spreading, carbon-fiber panels for insulation, and titanium joints for high-temperature tolerance; also claims 'every gear, bearing, and coupling is machined to aerospace standards.'",https://www.laifualdrive.com/blog/tesla-optimus-robot-actuators/,"Manufacturer/vendor site (actuator-component vendor blog, third-party analysis of a competitor/industry product, not Tesla's own documentation)",unknown,supplier_marketing,"inference (third-party vendor analysis of Tesla's design, not confirmed by Tesla itself; 'machined to aerospace standards' is an unquantified marketing phrase)",Not confirmed by Tesla directly; no tolerance/GD&T numbers given,"Kept as low-confidence, explicitly not upgraded to fact per issue's vendor-claim rule; Tesla itself publishes no public engineering-tolerance documentation for Optimus that this research found"
R028,2026-09-19,US,Maker/startup-built custom robot systems,Open-source/DIY quadruped leg (Mini-Cheetah-derived),joint/link,Leg linkage assembly,Leg tensioner/link ('the bone'),Tension-bearing link geometry minimizing bending,Custom,7075 aluminum,CNC machining (Haas CNC),unknown,unknown,unknown,None,unknown,unknown,unknown,unknown,unknown,unknown,High-strength-to-weight material selected specifically to minimize bending on tension-bearing link,unknown,unknown,unknown,unknown,Prototype/hobbyist-replica build,unknown,unknown,unknown,Single-process (machining),None,"Same build-log/teardown source as R012: the tension-bearing leg link ('the bone') of the original MIT Mini Cheetah-derived design is made of 7075 aluminum, machined on a Haas CNC, chosen for high strength to minimize bending.",https://build-its-inprogress.blogspot.com/2022/11/mini-cheetah-clone-teardown.html,Independent build-log/teardown blog,2022,documentation_verified,fact,No tolerance/GD&T/finish detail,"Correctly-categorized version of the R012 evidence (joint/link family, not welded-frame)"
R029,2026-09-19,US,Humanoid/general-purpose,Bipedal humanoid joint actuator shaft/bearing seat,shaft/bearing seat/motor mount,Joint actuator shaft assembly,Output shaft; bearing seat bore,Shaft with h6 fit tolerance mating an H7 housing bore (harmonic-drive convention),Custom shaft; bearing itself bought-in,Ti-6Al-4V (high-stress shafts) per vendor generalization; unknown for the harmonic-drive-catalog generic case,CNC turning/machining,unknown,unknown,unknown,None,unknown,Shaft: h6 tolerance class (mating H7 housing bore),unknown,Shaft-to-bearing-bore fit (press/clearance fit controls performance),unknown,Shaft must not be oversized (deforms mating bore) or undersized (shifts under load),Fit-class compliance directly controls harmonic-drive/joint performance and life,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,None,"Harmonic Drive component-set catalog documentation recommends h6 as the standard shaft tolerance class mating an H7 housing bore for circular-spline/flexspline component sets (same source as R001); separately, a vendor generalization states Ti-6Al-4V for high-stress humanoid-joint shafts.",https://www.harmonicdrive.net/_hd/content/catalogs/pdf/csf-csg.pdf,Component-supplier technical documentation,unknown,documentation_verified (fit class); supplier_marketing (Ti-6Al-4V material generalization),fact,No named OEM shaft confirmed against this fit class,"Companion record to R001, framed from the shaft/bearing-seat side of the same interface"
R030,2026-09-19,US,Cobot/industrial arm/machine tending,Collaborative-arm joint motor mount,shaft/bearing seat/motor mount,unknown,Motor mount interface,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,"No public source found with motor-mount-specific material/process/tolerance detail for a named collaborative-arm OEM (Universal Robots product pages describe joint stiffness/torque at a system level, see R003, but not the motor-mount interface itself).",unknown,unknown,unknown,unknown,unknown,Entire record is a gap marker,Deliberate gap-marker row
R031,2026-09-19,US,Exoskeleton/wearable robot,Powered exoskeleton actuator mount,shaft/bearing seat/motor mount,Actuator mounting bracket,Motor mount bracket,High-stiffness interface to prevent deflection under motor torque,Custom,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Actuator-mount-to-frame interface (torque transfer),unknown,unknown,"Stiffness must prevent deflection under motor torque (generic vendor claim, same source as R008)",unknown,unknown,unknown,unknown,unknown,unknown,Deflection under motor torque if interface stiffness insufficient,unknown,unknown,unknown,Same vendor source as R008: exoskeleton actuator mounting brackets require high-stiffness interfaces to prevent deflection under motor torque.,https://bangid.com/knowledge-base/custom-machined-exoskeleton-robot-engineering-precision-for-human-augmentation/,Manufacturer/vendor site,unknown,supplier_marketing,"fact (vendor-claimed, generic)",No tolerance/material specifics,vendor-claimed
R032,2026-09-19,US,Inspection/field robot,Underwater ROV for real-time inspection/intervention,pressure housing/sealed enclosure,Pressure housing assembly,Machined end caps + tube housing,Tube housing with precision-machined end caps for O-ring sealing,Custom housing; O-rings bought-in to standard spec,"Titanium 6Al-4V, Aluminum 6061/7075, or stainless steel (303/304/316) — options cited generically across ROV housing sources",CNC machining (turning of tube/end caps),unknown,unknown,unknown,None,unknown,O-ring sealing-surface tolerance ±0.025 mm; surface roughness Ra 0.8 μm (vendor-generalized ROV design guidance),unknown,O-ring face / end-cap-to-tube sealing interface,unknown,Precision machining of tube-end/O-ring interface despite wider tolerance on raw tube stock,"Seal integrity under hydrostatic pressure; O-ring quality found to be paramount in a published open-source ROV build (local O-rings failed, requiring higher-quality imported O-rings)","unknown (implied leak/pressure test, not explicitly detailed)",unknown,unknown,unknown,Prototype (open-source/research ROV builds),unknown,"Seal failure from low-quality O-rings (explicit documented failure in an open-source ROV build, requiring an O-ring sourcing change)",unknown,Single-process (machining) for the housing itself,None,"An open-source underwater-robotics toolkit paper and an ROV/subsea design vendor page together describe: pressure housings typically built from Ti-6Al-4V, aluminum 6061/7075, or stainless steel 303/304/316 with O-ring seals; assembly-surface tolerance ~±0.025 mm and Ra 0.8 μm surface roughness for the O-ring interface; and a published account that initial local-sourced O-rings failed and had to be replaced with higher-quality imported O-rings for a reliable seal.",https://arxiv.org/pdf/2512.15597,"Academic paper (arXiv, open-source underwater field-robotics toolkit) + vendor design-guidance page (tolerance numbers)",unknown,"documentation_verified (materials, O-ring failure account — academic paper); supplier_marketing (±0.025 mm/Ra 0.8 tolerance figures — vendor page)",fact,Tolerance figures not independently confirmed beyond the vendor source,"Strong combined academic + vendor evidence for this family; O-ring failure account is a genuine documented failure/rework reason, not inferred"
R033,2026-09-19,US,Maker/startup-built custom robot systems,Untethered robotic impactor for underwater water-entry experiments,pressure housing/sealed enclosure,Main housing (same system as R020),Machined main housing,"unknown (housing doubles as battery/electronics enclosure, see R020)",Custom,ASTM 6061-T6 aluminum,CNC machining,unknown,unknown,unknown,None,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Prototype (research robot),unknown,unknown,unknown,Single-process (machining),None,"Same CyberDiver paper as R020: the robot enters water for impactor experiments, and its main housing (machined from ASTM 6061-T6 aluminum) is the pressure/sealed enclosure doubling as the electronics/battery housing.",https://arxiv.org/pdf/2503.20702,Academic paper (arXiv preprint),2025,documentation_verified,fact,No sealing-tolerance or O-ring-spec detail confirmed for this specific housing,"Same underlying part as R020, cross-referenced here because it also functions as a sealed/pressure housing, per the coverage rule that a part can span multiple family audits"
R034,2026-09-19,US,Cobot/industrial arm/machine tending,Machine-tending/automation cell tooling fixture,jig/fixture/EOAT structure,Tooling/fixture plate assembly,CNC baseplate / tooling plate,Flat plate with mounting-hole pattern for EOAT/fixture components,Custom,6061 aluminum (or MIC-6 cast tooling plate as an alternative where flatness/dimensional stability is prioritized),CNC machining (milling flat plate + mounting features),Stress-relief or grinding (for tighter flatness),unknown,Stress relief (for tighter flatness spec),None,Flatness on milled plate surfaces typically 0.05 mm per 300 mm,Tighter flatness (0.02 mm per 300 mm) requires post-machine stress relief or grinding,Flatness callout on tooling-plate surface,Fixture-component locating surface,unknown (source notes fixtures often combine an aluminum body with steel/hardened locating components),unknown,Flatness stability under repeated clamping/locating cycles,"unknown (implied flatness gauge/CMM, not stated)",unknown,unknown,unknown,unknown (fixtures described as used for both prototype 'nests' and production tooling),unknown,unknown,unknown,Multi-process where hardened steel locating components are added to an aluminum body,"None described (machined fixture, not a molding/casting tool)","Aluminum-supplier technical content states 6061 tooling plate flatness is typically 0.05 mm per 300 mm on milled surfaces, with tighter flatness (0.02 mm per 300 mm) requiring post-machine stress relief or grinding; 6061 is a practical choice for prototype 'nests' and production tooling when loading is moderate, while MIC-6 cast tooling plate is preferred when flatness/dimensional stability is the top priority; many fixtures combine an aluminum body with steel or hardened locating components.",https://www.chalcoaluminum.com/knowledge/6061-aluminum-tooling-plate-block-2504-lx/,Material-supplier technical documentation,unknown,documentation_verified,"fact (material-property/engineering-guidance level, not tied to a specific robot-cell program)",No named robot-cell program confirmed against these exact flatness numbers,"Generic but credible material-engineering source (not sales copy for a specific robot part), so kept at documentation_verified rather than supplier_marketing"
R035,2026-09-19,US,Cobot/industrial arm/machine tending,End-of-arm tooling (EOAT) for pick/place and process tasks,jig/fixture/EOAT structure,EOAT tool changer/fixture assembly,"Tool fixture holding multiple ratcheting EOA tools; pin clamps, clamps, locators",unknown,Custom fixture holding bought-in gripper/tool components,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Tool-changer coupling interface,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,"A patent document describes a tool fixture configured for holding a plurality of ratcheting EOA tools, with exemplary tools including grippers, pin clamps, clamps, and locators — confirming EOAT/fixture structures are a real, patented mechanical-design category, but without material/tolerance/process detail.",https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/8025323,US patent document,unknown,documentation_verified (existence/design-category only),"fact (design-category confirmation, not manufacturing-spec detail)",No manufacturing detail (material/process/tolerance) found for this or any other named EOAT structure,"Confirms the category exists and is patented, but coverage of the actual RFQ anatomy (material/tolerance/process) for EOAT structures remains a significant gap"
R036,2026-09-19,US,Maker/startup-built custom robot systems,"Humanoid-startup prototype-stage manufacturing support (multi-customer vendor claim, not one named program)",prototype multi-part assembly,Chassis frame + mounting bracket set,Frame member; mounting bracket,unknown,Custom,"unknown (aluminum implied by vendor's general CNC-robotics framing, not explicitly stated for this claim)",CNC machining (multi-axis),unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Prototype through assembly validation and production preparation (explicit vendor claim spanning multiple lifecycle stages),Implied multiple design rounds (vendor states support spans 'early prototype stages through assembly validation and production preparation'),unknown,unknown,Multi-process (implied: machining + assembly support),unknown,"A China-based rapid-manufacturing vendor states it has supported customers developing next-generation humanoid robots since 2021, providing manufacturing support from early prototype stages through assembly validation and production preparation, including chassis frames and mounting brackets, via CNC machining.",https://www.dakingsrapid.com/robotics/,Manufacturer/vendor site (China-based custom manufacturer),unknown,supplier_marketing,fact (vendor-claimed),"No named customer, no volume, no material specified; carried over from issue #11's research (same source) as prototype-lifecycle evidence for this new anatomy-focused task","Same underlying vendor claim already recorded in issue #11's dataset (docs/research/robotics-custom-rfq-raw/), re-cited here for the lifecycle/prototype-multi-part-assembly framing specific to issue #13's schema; issue #11's folder itself is not modified"
R037,2026-09-19,US,Cobot/industrial arm/machine tending,Humanoid + cobot manufacturer supply (multi-customer precision CNC shop),prototype multi-part assembly,Structural frame; joint assembly; actuator housing; end-effector assembly,Structural frame member; joint housing; actuator housing; end-effector component,unknown,Custom,unknown,CNC machining (precision machine shop),unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,"Ongoing production support (implied, not explicitly staged)",unknown,unknown,"Implied repeat/ongoing shop relationship (inference, not stated explicitly)",Multi-process implied (frame + joint + housing + end-effector = different geometries/processes),unknown,"A US precision CNC machine shop (Elk Grove Village, Illinois) states it machines structural frames, joint assemblies, actuator housings, and end-effector components for humanoid and collaborative robot manufacturers.",https://carrmachine.com/industries/humanized-robotics/,Manufacturer/vendor site (US CNC job shop),unknown,supplier_marketing,fact (vendor-claimed),"No named OEM customer, no volumes, no material/tolerance detail; same source already used in issue #11's dataset, re-cited for this task's multi-part-assembly framing","Same underlying vendor claim as issue #11's R002; re-cited here, issue #11's folder not modified"
R038,2026-09-19,US,Humanoid/general-purpose,Bipedal humanoid full-platform prototype,prototype multi-part assembly,"Full-body structural + actuator assembly (chassis, joints, arm, hand)","Multiple (frame, joint housings, output flanges, actuator housings)",unknown,Mixed (structural/housing parts custom-machined; reducers/motors/electronics bought-in),"Aluminum billet (7075 confirmed for upper-arm output flange, per R002)",5-axis CNC machining,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,"Production platform (shipping robot), used here as an example of what a full multi-part humanoid assembly looks like at the RFQ-family level",Implied by teardown source's own framing (CNC chosen specifically to allow ongoing part modification as the robot develops),unknown,unknown,Multi-process (many separately machined parts assembled into one platform),"None (machining avoids casting-tool investment, per teardown source)","Cross-reference of R002: a named, shipping humanoid platform (Unitree G1) is composed of many separately CNC-machined aluminum-billet structural/actuator parts rather than one casting, illustrating a real multi-part custom-manufacturing assembly at the full-robot level.",https://humanoid.guide/unitree-g1-teardown-reveals-actuator-and-cooling-tradeoffs/,Independent technical teardown/analysis blog,unknown,documentation_verified,fact,"No full BOM, no part count, no per-part tolerance",Cross-reference to R002 at the whole-assembly level rather than the single-part level
R039,2026-09-19,US,Humanoid/general-purpose,Cross-category (applies to any machined housing needing a serviceable threaded feature in aluminum),joint/link,unknown,Threaded insert installed into a machined aluminum housing,Helical-coil threaded insert bore,Bought-in insert installed into a custom-machined bore,unknown,unknown,Helicoil thread-insert installation,unknown,unknown,None,unknown,unknown,unknown,unknown,HELICOIL helical thread insert; rotation-angle- and torque-controlled installation for precise insertion depth; installation-tool torque adjustability cited as 0.3-2.9 Nm and 1-6.9 Nm ranges depending on tool/size,Torque- and rotation-angle-controlled insert installation to guarantee insertion depth,Insertion-depth control affects thread strength/retention,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,"Böllhoff's own HELICOIL installation documentation states rotation-angle- and torque-controlled installation guarantees the precise insertion depth for HELICOIL thread inserts, with installation tools offering adjustable torque ranges (0.3-2.9 Nm and 1-6.9 Nm depending on tool/size).",https://www.boellhoff.com/us-en/products/assembly-technology/installation-of-helicoil-thread-inserts/,"Component-supplier technical documentation (Böllhoff, HELICOIL OEM)",unknown,documentation_verified,fact,"Generic component-supplier spec, not tied to a specific robot part; applies wherever a robot RFQ calls for a Helicoil insert","Real, authoritative primary-supplier source for the thread/insert/fastening column across any robot housing family"
R040,2026-09-19,US,Cobot/industrial arm/machine tending,Cross-category (applies to any machined housing using self-clinching fasteners),sheet-metal enclosure,unknown,Self-clinching fastener installed into sheet metal/machined panel,unknown,Bought-in fastener installed into custom panel,unknown,unknown,unknown,unknown,unknown,None,unknown,unknown,unknown,unknown,PEM self-clinching fastener; published tightening-torque guidance available per fastener/stud/nut product,Torque applied per PEM-published tightening-torque tables (varies by product; limited axial strength on some specialty items),unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,"PEM (self-clinching fastener OEM) publishes tightening-torque guidance for its fastener products, noting some specialty PEM items have limited axial strength with published tightening torques for studs and most nut products.",https://www.pemnet.com/resources/download-center/tightening-torque-2/,"Component-supplier technical documentation (PEM, OEM)",unknown,documentation_verified,fact,"Generic component-supplier spec, not tied to a specific robot part","Real, authoritative primary-supplier source for PEM fastening"
R041,2026-09-19,US,Humanoid/general-purpose,Cross-category (applies broadly to aerospace-adjacent robot parts requiring qualified first-article inspection),precision CNC housing,unknown,"unknown (generic FAI requirement, not tied to a single part)",unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,First Article Inspection (FAI),unknown,AS9102 standard governs FAI as a mandatory quality-verification process in aerospace-grade manufacturing; verifies a new/modified production process produces conforming parts matching the engineering drawing,unknown,unknown,unknown,unknown,unknown,unknown,unknown,First Article Inspection (FAI) is a production-validation process verifying a new or modified production process produces conforming parts meeting the specification in the technical/engineering drawing; in aerospace contexts this is governed by the AS9102 standard.,https://en.wikipedia.org/wiki/First_article_inspection,Reference/standards summary (cites AS9102),unknown,documentation_verified,fact,Not confirmed that any specific robot-part RFQ in this dataset actually invokes AS9102-level FAI; recorded as the generic standard that would apply if an aerospace-adjacent robot program required it (e.g. defense/exoskeleton or space-robotics contexts),"Included per issue's own listed field #22 (FAI/first article requirement) as the best available real, standards-level source; no OEM-specific robot-FAI record was found"
R042,2026-09-19,US,AMR/warehouse/logistics,Cross-category (applies broadly to welded robot chassis/frames requiring qualified welding),welded frame/chassis,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,"Welding Procedure Specification (WPS) + Procedure Qualification Record (PQR); for aluminum robot chassis, qualification per ISO 15614 series (arc/gas welding of steels covered by Part 1; aluminum, nickel alloys, cast iron covered by other parts)",unknown,unknown,unknown,unknown,unknown,unknown,"Every deviation from a qualified WPS is replicated at scale once a robot executes the weld (industry commentary — robotic welding raises, not lowers, the need for WPS discipline)",unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,"A Welding Procedure Specification (WPS) is a formal document describing welding procedures, supported by a Procedure Qualification Record (PQR) — a formal record of a test weld rigorously tested to ensure the procedure produces a good weld; the ISO 15614 series defines WPS-qualification testing requirements (Part 1: arc/gas welding of steels; other parts: nickel alloys, aluminum, cast iron, etc.). Trade commentary states robotic welding increases, rather than reduces, the need for WPS discipline, since every deviation from a qualified WPS is replicated across every joint the robot welds.",https://en.wikipedia.org/wiki/Welding_Procedure_Specification,Reference/standards summary (cites ISO 15614) + trade-publication commentary,unknown,documentation_verified,fact,Not confirmed that any specific robot-chassis RFQ in this dataset actually specifies ISO 15614 qualification; recorded as the generic standard that would govern a welded aluminum/steel robot chassis if required,"Included per issue's field #16 (welding requirement); a genuine, real, standards-level source rather than a fabricated per-OEM claim"
R043,2026-09-19,US,Humanoid/general-purpose,Cross-category (applies broadly to aluminum robot housings/flanges needing wear/corrosion-resistant finish),precision CNC housing,unknown,unknown,unknown,unknown,"7075-T651/T73/T7351 (7000-series aluminum, per generic material-supplier guidance)",unknown,unknown,"Type III hard-coat anodize (Type III/Hardcoat), coating thickness 0.0008-0.004 in, surface hardness approaching 60-70 HRC","7075-T73/T7351 temper recommended over T6/T651 for improved stress-corrosion-cracking resistance in humid/salty/outdoor, preloaded-part environments",unknown,unknown,unknown,unknown,unknown,unknown,unknown,"Wear resistance (repeated-motion joint surfaces) and corrosion protection, especially for outdoor/field robots",unknown,unknown,unknown,unknown,unknown,unknown,Stress-corrosion cracking in 7075 parts if T6/T651 temper used instead of T73/T7351 in humid/salty/preloaded conditions (per material-supplier guidance),unknown,unknown,unknown,"Material-supplier/anodizing-vendor technical content states Type III hard-coat anodize builds a coating 0.0008-0.004 in thick with surface hardness approaching 60-70 HRC, commonly used on robotics parts with repeated-motion wear; and that 7075-T73/T7351 is recommended over T6/T651 for improved stress-corrosion-cracking resistance in humid, salty, or outdoor environments with preloaded parts.",https://aerospacemetalsllc.com/anodizing/,Manufacturer/vendor site (aerospace-finishing specialist) + material-supplier guidance,unknown,"supplier_marketing (specific numbers); industry_estimate (temper-selection guidance, widely corroborated material-engineering practice)","fact (vendor-claimed coating spec); inference (temper recommendation applied generically to robot joints, not confirmed for a specific OEM)",No named OEM part confirmed against these exact numbers,Directly relevant to the issue's own worked example ('hard anodize' in the knee/hip joint housing worked example)
R044,2026-09-19,US,Humanoid/general-purpose,Cross-category (applies broadly to aerospace-adjacent robot programs requiring material traceability),precision CNC housing,unknown,unknown,unknown,unknown,6061-T6 / 7075 (named as the dominant structural aerospace aluminum grades),unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,"AS9100D Level 3 = traceability to the specific raw-material lot including mill certificate/Material Test Report (most commercial aerospace programs); Level 4 = full serialized part-level traceability (military/space/flight-critical programs); mill test reports include heat numbers, chemical analysis, mechanical properties",unknown,unknown,unknown,unknown,unknown,unknown,"Aerospace-CNC-machining vendor/industry content states AS9100D requires documented supply-chain traceability from raw material to delivery; Level 3 traceability ties a finished part to its specific raw-material lot via a mill certificate/Material Test Report (required by most commercial aerospace programs), while Level 4 is full serialized traceability per part (military/space/flight-critical programs); mill test reports report heat numbers, chemical analysis and mechanical properties for a specific material heat.",https://precisionam.com/articles/uncategorized/cnc-machining-material-traceability/,"Manufacturer/vendor site (describes a real, named industry standard, AS9100D)",unknown,"supplier_marketing (vendor page); the underlying AS9100D standard itself is a real, independently-verifiable industry standard",fact (standard-level description); not confirmed that any specific robot program in this dataset actually requires AS9100D/Level 3-4 traceability,"No named robot OEM confirmed as requiring this traceability level; humanoid/robotics companies are not aerospace primes by default, so applicability to a typical robot RFQ is unconfirmed","Included per issue's field #27 (material cert/traceability); flagged clearly that this is the aerospace-industry norm, not a confirmed robotics-industry requirement"
