ID,Ngày thu thập,Quốc gia,Loại robot,Dạng sản phẩm robot / use case,Buyer/User type,Custom assembly,Custom part,Material,Manufacturing process,Technical requirement / tolerance / finish,Lifecycle stage,Revision intensity signal,Repeat / replacement signal,Single-process / multi-process,China manufacturing-fit signal,US/AU sourcing-friction signal,Raw claim / fact,Source URL,Source type,Publication date,Confidence,Fact / inference / hypothesis,Unknown / gap,Notes
R031,2026-09-19,Global (China manufacturer),Service robot,Commercial cleaning robot for hospitality/food service (custom variant),Hospitality/commercial cleaning robot brand or operator wanting a customized product,Chassis/enclosure (whole-robot level),Custom housing/enclosure,unknown,unknown (positioned as 'custom manufacturer' offering design-phase-to-after-sales support),unknown,"Design phase through after-sales - i.e., spans prototype to production to support",unknown,unknown,unknown,Ningbo Reeman Intelligent Technology (China) explicitly markets itself as a 'custom manufacturer that understands unique requirements and provides support from design phase to after-sales service' for commercial cleaning robots - direct China ODM/custom-manufacturing capability for whole-robot service-robot products,unknown,"Ningbo Reeman Intelligent Technology is a China-based custom manufacturer of commercial cleaning robots, providing support from the design phase through after-sales service for clients wanting customized products.",https://www.reemanrobotics.com/cleaning-robot-commercial/,Manufacturer/vendor site (China),unknown,low,fact (vendor claim),"This is whole-robot ODM/OEM manufacturing, not a decomposed custom-part RFQ - a genuine open gap for this category (see coverage audit)","Service-robot category is comparatively thin on decomposed custom-part evidence; flagged as a real gap, not silently treated as complete"
R032,2026-09-19,Global (vendor),Service robot,"Robot housing / sheet-metal enclosure (general, applicable to service robots)",Robot OEM (service/delivery/mobile robot),Protective enclosure,Sheet-metal robot housing,unknown,Sheet metal forming (custom enclosures),unknown,unknown,unknown,unknown,unknown,unknown,unknown,"A manufacturer markets sheet-metal forming specifically for 'custom robot enclosures,' from CAD to finished casing.",https://epromfg.com/robot-housing-manufacturer-sheet-metal-custom-enclosures/,Manufacturer/vendor site,unknown,low,fact (vendor claim),Not service-robot-specific in the source; applied by category adjacency; no spec detail,
R033,2026-09-19,US,Service robot,"Sidewalk delivery robot structure (Starship, Serve Robotics category context)",Sidewalk delivery robot OEM/operator,Protective enclosure; base frame,Insulated compartment housing; base frame,"Lightweight aluminum (5052/6061) for enclosures; rigid stainless steel for base frames (general robotics sheet-metal fabrication norm, not confirmed specific to Starship/Serve by name)",Laser cutting + CNC press-brake forming,unknown,unknown,unknown,unknown,Multi-process (laser cut + brake form + assembly),unknown,unknown,"Starship robots use an insulated interior compartment (maintaining hot/cold/frozen temperatures) and a six-wheel bogie system to climb curbs; general robotics sheet-metal fabrication practice for this class of robot uses lightweight aluminum (5052/6061) enclosures and rigid stainless-steel base frames, built with laser cutters and CNC press brakes - though no source directly confirms Starship's own supplier/material choice.",https://www.starship.xyz/our-robots/,Company website (Starship Technologies) + general fabrication-industry practice (ShincoFab),unknown,low,"inference (robot design facts are confirmed; specific material/process attribution to Starship itself is inferred from general industry practice, not confirmed)",No confirmed supplier or material spec directly tied to Starship/Serve Robotics hardware,"Marked inference per the no-invented-fact rule: the temperature/wheel facts are sourced to Starship directly, but the material/process facts are general industry norms, not Starship-specific"
R034,2026-09-19,AU,Mining/autonomous haulage,Autonomous haulage system (AHS) retrofit of existing haul trucks,Mining company (Rio Tinto) retrofitting an existing truck fleet,Retrofit kit (sensor/control integration onto legacy truck),unknown (kit contents not itemized in source),unknown,"unknown (retrofit installation, not a described fabrication process)",unknown,"Production/fleet rollout (retrofit of an operating fleet, not prototype)",unknown,Repeat/fleet-scale - 29 retrofit kits ordered for 830E trucks at Brockman 4 in one program,unknown,unknown,unknown,Rio Tinto ordered 29 Autonomous Haulage System (AHS) retrofit kits for installation on 830E standard trucks at its Brockman 4 mine in the Pilbara region.,https://www.itnews.com.au/news/rio-tinto-starts-autonomous-retrofits-for-haul-trucks-480041,Trade/tech news (iTnews),unknown (article covers a specific retrofit program),high,fact,"No breakdown of what custom mechanical parts (sensor mounts, brackets, enclosures) the retrofit kit itself contains - flagged as an open gap",This category's custom-part-level evidence (vs. fleet/program-level evidence) is the weakest of all 9 categories - see coverage audit
R035,2026-09-19,AU,Mining/autonomous haulage,Autonomous haulage - conversion of Caterpillar trucks to a different AHS platform,Mining company (Rio Tinto),Retrofit kit,unknown,unknown,unknown,unknown,Production/fleet rollout,unknown,"Repeat/fleet-scale - 19 Caterpillar haul trucks converted at Marandoo from mid-2018, first Rio Tinto deployment of AHS tech on Cat-brand vehicles",unknown,unknown,unknown,Rio Tinto converted 19 Caterpillar haul trucks at its Marandoo mine to autonomous operation from mid-2018 - the first time Rio Tinto deployed its AHS technology on Caterpillar-brand vehicles (rather than Komatsu).,https://www.cio.com/article/201760/rio-tinto-ramps-up-truck-automation.html,Trade/tech news (CIO.com),"unknown (historical, 2018 event reported)",high,fact,No custom-part-level detail,"Cross-platform retrofit (from Komatsu-native AHS to Caterpillar trucks) strongly implies custom mechanical adaptation/mounting hardware was needed, but this is an inference, not directly evidenced"
R036,2026-09-19,Global (mining OEM context),Mining/autonomous haulage,"Autonomous haulage retrofit kits (general capability, Caterpillar Command)",Mining company operating existing (non-autonomous) haul truck fleet,Retrofit kit,unknown,unknown,unknown,unknown,Production (kit-based retrofit of operating equipment),unknown,"Repeat (kit-based product, implies multiple installs across a fleet/industry)",unknown,unknown,unknown,"Caterpillar and other providers offer autonomous/semi-autonomous retrofit kits, including sensor and software systems, that can be installed on existing mining/earthmoving equipment to expand autonomous haulage ('Command') capability to trucks not originally built autonomous.",https://www.mining-technology.com/features/autonomous-haulage-systems/,Trade publication,unknown,medium,fact,No itemized custom mechanical-part list for the retrofit kit,
R037,2026-09-19,"Global (autonomous-vehicle sensor context, applicable to mining haul trucks)",Mining/autonomous haulage,LiDAR/radar sensor mounting for autonomous heavy-vehicle retrofit,Autonomous-vehicle/mining-truck retrofit integrator,Sensor/camera mount assembly (retrofit sensor support structure),Sensor mounting bracket/support structure,unknown,"unknown (fastened assembly: screws, bolts, nuts, adhesives, tapes, ties, ropes, clamps cited as integration methods)",unknown,Retrofit/aftermarket,unknown,unknown,unknown,unknown,unknown,"Retrofit sensor kits for autonomous heavy vehicles use support structures positioning LiDAR (roof-mounted) and mmWave radar (front/bumper-mounted, to minimize signal distortion from metallic structures), with radar assemblies positionable at lower/upper portions of the mounting frame; fastening methods for the support structure include screws, bolts, nuts, adhesives, tapes, ties, ropes, and clamps.",https://pmc.ncbi.nlm.nih.gov/articles/PMC13431312/,Academic/patent-adjacent technical source (peer-reviewed + patent literature),2026 (recent),medium,"fact (mechanism-level; specific to autonomous-vehicle retrofit generally, applied to mining haul trucks by direct relevance since mining AHS uses the same LiDAR/radar retrofit pattern)",Not confirmed as mining-specific in this exact source; material of the mounting structure not given,
R038,2026-09-19,Global (China supplier),Exoskeleton/wearable robot,Rehabilitation/industrial exoskeleton frame and joint housing,Exoskeleton OEM (medical/rehab or industrial),Joint housing assembly; load-bearing frame,Housing; stator mount; frame member,AL6061-T6 aluminum (most common for housings/stator mounts); titanium alloys and reinforced polymers as alternatives for higher-spec applications,"CNC milling, turning, EDM, or grinding for critical structural components at high-stress concentration points","unknown numeric tolerance in this exact source, but explicit requirement that housing dimensional tolerances must ensure proper alignment/assembly at attachment points and module interfaces",unknown,unknown,unknown,"Multi-process (milling + turning + EDM + grinding, chosen per feature)","WayKen (China) publishes a dedicated case-study/blog on custom-machined exoskeletons, indicating direct China manufacturing-capability depth in this niche",unknown,"AL6061-T6 aluminum is the most common material for exoskeleton housings and stator mounts; critical structural components are produced via CNC milling, turning, EDM, or grinding for components experiencing high stress concentrations; load-bearing frame members (aluminum or titanium) transfer forces from actuators to the user's body, and precision joint assemblies integrate multi-axis rotational interfaces with bearings and seals; dimensional tolerances at attachment points/module interfaces are called out as critical.",https://waykenrm.com/blogs/custom-machined-exoskeleton-robot/,Manufacturer/vendor technical blog (China),unknown,medium,"fact (vendor technical content, internally consistent with mechanical engineering practice)","No named customer/product, no numeric tolerance given",
R039,2026-09-19,Global (China supplier),Exoskeleton/wearable robot,Custom exoskeleton robot components (case study),Exoskeleton OEM,Joint housing assembly; custom fit bracket,Housing; bracket,unknown,unknown (case-study level),unknown,unknown,unknown,unknown,unknown,"WayKen presents a dedicated 'Custom Manufacturing and Solutions with Exoskeleton Robot Components' case study, further evidencing China supplier specialization in this niche",unknown,WayKen (China) publishes a specific case study titled 'Custom Manufacturing and Solutions with Exoskeleton Robot Components.',https://waykenrm.com/case-studies/custom-manufacturing-and-solutions-with-exoskeleton-robot-components/,Manufacturer/vendor case study (China),unknown,low,fact (case-study existence only; full content not extracted this pass),"Full case-study detail (customer, parts, volumes) not extracted - flagged for follow-up read",
R040,2026-09-19,US,Maker/startup-built custom robot systems,Robotics startup hardware development - prototype part sourcing,Robotics/hardware startup engineering team,Various (whatever the startup's product requires),Various custom machined/printed parts,unknown (varies by part),"CNC machining and/or 3D printing, sourced via on-demand manufacturing marketplace",unknown,"Prototype (explicitly described as the prototype stage, with RFQ->quote->manufacture cycle)","Explicit: 'most programs require 1-3 design iterations before production approval; iteration is normal, not a failure signal'; a described industry practice of a 24-hour turnkey quote process for Engineering Change Notices (ECNs) between iteration rounds","One-off/iterative during prototype phase, transitioning toward repeat once production-approved",unknown (varies by part),unknown,"RFQ responses from traditional machine shops can take days before a further three-to-four-week prototype lead time; a prototype 'expected in days can easily take weeks - not because of production constraints, but because of delays in quoting, design iteration, manufacturability feedback, and supplier coordination' - a direct US quoting/coordination friction signal","A prototype expected in days can take weeks due to delays in quoting, design iteration, manufacturability feedback, and supplier coordination (not raw production time); most robotics/hardware programs require 1-3 design iterations before production approval, with iteration treated as normal.",https://www.fictiv.com/articles/prototyping-lead-time-process-timelines-and-how-to-reduce-delays,"Manufacturing marketplace technical/industry blog (Fictiv, US)",unknown,medium,fact (industry-practice claim from an on-demand manufacturing marketplace with direct visibility into this workflow),No specific startup named,Directly maps to the issue's required 'revision intensity' and 'US sourcing friction' columns for the startup/maker category
R041,2026-09-19,US,Maker/startup-built custom robot systems,Robot CAD-to-manufacturing RFQ workflow best practice,Robotics/automation engineering team preparing an RFQ,"unknown (process-level, not a specific assembly)",unknown,unknown,unknown,unknown,Prototype/early development (RFQ preparation stage),Explicit: recommends 'grouping revisions and assemblies correctly to avoid mixing different revisions in the same package' - direct evidence that revision-control is a recognized RFQ-quality problem in robotics,unknown,unknown,unknown,"Implied friction: without STEP-format standardization and correct revision grouping, CAD/CAM/engineering compatibility problems and quoting delays result","For robotics/automation RFQs, using STEP as the primary CAD exchange format improves compatibility between CAD, CAM, and engineering, and correctly grouping revisions and assemblies (not mixing different revisions in the same package) is called out as a specific best practice to avoid - implying this is a common real-world failure mode.",https://premsaindustries.com/en/resources/blog/cad-file-to-cnc-machining-quote,Manufacturer/vendor technical blog,unknown,low,fact (vendor claim/best-practice guidance),No robotics-specific example given,
R042,2026-09-19,EU (context; relevant as comparator to US/AU startup manufacturing friction),Maker/startup-built custom robot systems,Hardware startup prototype-to-production manufacturing support,Hardware/robotics startup,unknown,unknown,unknown,unknown,unknown,"Prototype to production, explicitly marketed as fast (3 days)",unknown,unknown,unknown,unknown,Implicit friction signal: the marketing claim itself ('prototype to production in 3 days') exists specifically because slow prototype-to-production turnaround is a recognized pain point for hardware startups,LS Manufacturing markets a 'prototype to production in 3 days' service specifically aimed at supporting European hardware startups' fast-paced development cycles.,https://www.eu-startups.com/2026/07/from-prototype-to-production-in-3-days-how-ls-manufacturing-supports-european-hardware-startups-in-their-fast-paced-development-sponsored,"Sponsored/trade press article (vendor-sponsored content, marked accordingly)",2026-07,low,"fact (marketing claim - explicitly sponsored content, treat cautiously)",Not US/AU-specific (EU); included as a comparator signal only,Sponsored article - flagged as vendor/marketing content per issue's instruction not to convert vendor claims into independent fact
R043,2026-09-19,US,Maker/startup-built custom robot systems,Robotics hardware startup transitioning from prototype to volume production (HEBI Robotics),HEBI Robotics (robotics component/actuator manufacturer),"Various (actuator/robotics components, 14,500 parts across multiple types)","Various (multiple part types across a 14,500-part production run)",unknown (multiple materials implied by mixed-process production),"CNC machining with multiple surface finishes + gear hobbing + Multi Jet Fusion (MJF) 3D printing + injection molding - explicitly multi-process, single supplier relationship",Multiple surface finishes required across the part set,"Production (14,500-part run) preceded by a prior period of supply-chain quality/cost/speed struggles",unknown,"Production/repeat - large multi-part production order, not one-off","Multi-process explicitly: CNC machining, gear hobbing, MJF 3D printing, and injection molding combined in a single sourcing relationship",unknown (Fictiv is a US-headquartered manufacturing marketplace; specific factory locations for this order not stated in the retrieved snippet),Direct US friction evidence: HEBI Robotics 'had previously passed up several hundred thousand dollar sales because they couldn't produce parts quickly enough' before consolidating sourcing through Fictiv's digital manufacturing ecosystem,"HEBI Robotics partnered with Fictiv to manufacture 14,500 parts using CNC machining with multiple surface finishes, gear hobbing, Multi Jet Fusion 3D printing, and injection molding; the company had previously passed up several hundred thousand dollars in sales because prior suppliers could not produce parts quickly enough, and consolidating through one digital-manufacturing source solved the quality/cost/speed tradeoff.",https://www.fictiv.com/case-studies/hebi-robotics,"Manufacturing marketplace case study (Fictiv, US) - customer case study, treat as vendor-published but naming a real, verifiable robotics company (HEBI Robotics)",unknown,medium,"fact (vendor-published case study naming a real, independently-verifiable robotics company; core business facts about HEBI Robotics are checkable)","Exact part list, materials, and China-vs-US manufacturing location breakdown not given","One of the strongest single records in the dataset: names a real robotics company, a concrete lost-sales friction number category (six-figure), and an explicit multi-process production requirement"
R044,2026-09-19,Global (China),Đa loại robot (cross-category),Custom-manufacturing prototype/low-volume sourcing generally (applies across all robot categories' RFQ pipeline),"n/a (manufacturing-capability signal, not a single buyer)",n/a,n/a,n/a,"CNC machining, turning, EDM, 3D printing, vacuum casting, injection molding - multiple processes co-located",unknown,Prototype and low-volume production both explicitly served,unknown,unknown,"Multi-process coordination explicitly evidenced: 'coating, plating, metrology, and assembly are often located within the same industrial cluster'","China's manufacturing hubs (Shenzhen, Dongguan, Suzhou) host 700+ rapid-prototyping manufacturers; the Shenzhen-Dongguan-Zhongshan cluster enables material sourcing, finishing, and secondary operations to be coordinated faster than dispersed Western supply chains; labor/overhead in the Guangdong corridor runs 30-60% lower than North America/Western Europe for comparable CNC/tooling work, with factories running multiple shifts to compress machine-queue times to days",Implicit comparator to US/AU: this same passage frames Western supply chains as more 'dispersed' and slower to coordinate multi-process jobs,"China's Shenzhen/Dongguan/Suzhou manufacturing hubs host 700+ rapid-prototyping manufacturers; the Guangdong cluster enables faster-than-Western coordination of material sourcing, finishing, and secondary operations, with labor/overhead 30-60% lower than North America/Western Europe and multi-shift operation compressing machine-queue times to days.",https://www.rpproto.com/blog/top-10-cnc-machining-services-company-in-china,"Manufacturer/vendor site (China, aggregator/marketing content)",unknown,low,"fact (vendor/marketing claim - cost/speed percentages are supplier-asserted, not independently verified)",No independent (non-vendor) verification of the 30-60% cost-advantage figure,Vendor-claimed cost figures kept as low-confidence per issue's no-fabrication rule; not converted into an independent 'fact'
R045,2026-09-19,Global (China),Đa loại robot (cross-category),Multi-process one-stop manufacturing for robotics prototyping (Shenzhen/Dongguan),n/a,n/a,n/a,n/a,"3- to 5-axis CNC machining, turning, EDM, 3D printing, vacuum casting, injection molding - all under one supplier",unknown,Prototype through low/medium-volume production explicitly offered,unknown,unknown,Multi-process explicitly - one supplier offering 6+ distinct processes under one roof,"HLH Rapid operates in both Shenzhen and Dongguan and offers 3-5 axis CNC machining, turning, EDM, 3D printing, vacuum casting, and injection molding as a single-supplier multi-process capability",unknown,"HLH Rapid, operating in Shenzhen and Dongguan, offers 3- to 5-axis CNC machining, turning, EDM, 3D printing, vacuum casting, and injection molding as an integrated multi-process manufacturing capability for prototype-through-low/medium-volume production.",https://hlhrapid.com/cnc-machining-services/,Manufacturer/vendor site (China),unknown,low,fact (vendor claim),No customer/volume/cost detail,
R046,2026-09-19,Global (China export QC context),Đa loại robot (cross-category),China export quality-control process for custom-manufactured hardware,n/a,n/a,n/a,n/a,n/a,"First Article Inspection (FAI) is a production-validation process verifying a new/modified production process produces conforming parts meeting engineering-drawing specs; staged inspection includes Initial Production Check (IPC, before mass production), During Production Inspection (DUPRO/DPI, ongoing), and Pre-Shipment Inspection (PSI, when goods are packed)",Production validation / pre-shipment stage,unknown,unknown,unknown,"China's export-QC ecosystem includes AQSIQ oversight and a standardized staged-inspection process (IPC -> DUPRO/PSI), plus comprehensive supplier audits covering manufacturing capability (shop floor/machinery review), quality-control procedures, and traceability/document review - direct evidence of export-ready QC/inspection capability",unknown,"China's export quality-control process for manufactured goods includes First Article Inspection (validating that a new/modified process produces conforming parts matching engineering drawings), Initial Production Check before mass production, During Production Inspection for ongoing monitoring, and Pre-Shipment Inspection when goods are packed; comprehensive supplier audits cover manufacturing capability, QC procedures, and traceability/document review.",https://www.qcadvisor.com/blog/china-quality-control-and-inspection/,Third-party QC/inspection service provider site (not the manufacturer itself - more independent than a factory's own claim),unknown,medium,"fact (process description from a third-party inspection-service provider, more credible than a factory's self-description)",No specific robotics-part example given,This directly answers the issue's 'export-ready/QC/inspection capability' China-fit question at the process level
R047,2026-09-19,Global (China export QC context),Đa loại robot (cross-category),Material certification and traceability for China-manufactured custom parts,n/a,n/a,n/a,n/a,n/a,"Material certifications with heat and lot traceability, used to verify correct materials were used and not substituted for lower-cost alternatives; ISO 9001 certification confirms an independently audited quality-management system scoped to a specific legal entity/site/service",unknown,unknown,unknown,unknown,China supplier audits explicitly check for material certificates with heat/lot traceability and ISO 9001 certification scope - direct evidence this capability exists and is independently checkable (not just a vendor's own claim),unknown,"Material certifications with heat and lot traceability are used in China supplier audits to ensure the correct materials were used and not substituted for lower-cost alternatives; ISO 9001 certification is independently audited and scoped to the specific legal entity, site, and service listed on the certificate (implying certification scope must be checked, not assumed).",https://insight-quality.com/services/china-quality-control-inspection/,Third-party QC/inspection service provider site,unknown,medium,fact,No specific robotics-manufacturer example named,Directly answers the issue's material-certificate/traceability technical-requirement question at the China-capability level
R048,2026-09-19,AU,Đa loại robot (cross-category),Australian CNC machining supplier explicitly serving industrial robot systems (as a domestic alternative to China sourcing),Industrial robot OEM/integrator in Australia,n/a (general capability),Industrial robot system components,Metal and plastic (general),CNC machining and cutting,unknown,unknown,unknown,unknown,unknown,"n/a (this is evidence of a domestic AU alternative, not China capability)","A Sydney-based CNC machining company (Robycs Technology) explicitly markets itself as supplying 'highly precise components and parts for industrial robot systems' - direct evidence that domestic AU CNC capacity for robotics exists, which is the baseline against which any AU sourcing-friction (capacity/cost/lead-time) claim must be read","Robycs Technology (Sydney) specializes in CNC machining and cutting services, offering highly precise components and parts for industrial robot systems and other assembly processes.",https://robycstechnology.com.au/cnc-machining-sydney/,Manufacturer/vendor site (AU),unknown,low,fact (vendor claim),No capacity/volume/pricing data to compare against China or US alternatives,Important baseline record: shows AU domestic robotics-CNC supply exists but (per other AU-friction rows) at small scale relative to demand
R049,2026-09-19,US,Đa loại robot (cross-category),US CNC machinist workforce shortage affecting custom-part production capacity generally (including robotics),n/a,n/a,n/a,n/a,n/a,n/a,n/a,unknown,unknown,unknown,n/a,"462,000 US manufacturing job openings reported in March 2026; up to 2.1 million manufacturing roles projected to go unfilled by 2030; median age of the American machinist is approaching 47; apprenticeship pipelines chronically underfunded for two decades; CNC shop owners report idle machines, delayed orders, rising labor costs, and overworked senior machinists","462,000 US manufacturing job openings were reported in March 2026, with up to 2.1 million manufacturing roles projected unfilled by 2030; the median age of American machinists is approaching 47, and CNC shop owners report idle machines and delayed orders as a direct result of the labor shortage.",https://www.cloudnc.com/blog/cnc-machinist-hiring-crisis-2026,Manufacturing-software vendor blog (CloudNC) citing labor-market statistics,2026,medium,"fact (statistics likely sourced from BLS/industry associations by the blog, but not independently re-verified this pass - kept at medium confidence)","Original primary source (e.g., BLS/NAM) not directly queried this pass - flagged for follow-up",Directly answers the issue's 'workforce shortage' US friction requirement
R050,2026-09-19,US,Đa loại robot (cross-category),"US reshoring demand colliding with machinist shortage, constraining custom-part capacity",n/a,n/a,n/a,n/a,n/a,n/a,n/a,unknown,unknown,unknown,n/a,"The reshoring boom is described as 'colliding with' the machinist shortage, meaning increased demand for domestic (non-China) precision manufacturing is running into a workforce-constrained supply of shops able to take on new work - a direct capacity-shortage friction relevant to robotics OEMs trying to source domestically","Increased US reshoring demand for precision manufacturing is colliding with the ongoing machinist shortage, constraining the capacity of US precision-machining shops to absorb new custom-part work.",https://egm-mfg.com/reshoring-machinist-shortage-precision-machining/,Manufacturer/industry blog (US precision machining company),unknown,low,"inference/fact mix (industry-participant commentary, directionally consistent with the CloudNC labor statistics above but itself not a primary data source)",No quantified capacity-gap figure in this specific source,
R051,2026-09-19,US,Đa loại robot (cross-category),US tariffs on China-origin robotics/automation components reshaping sourcing decisions,n/a,n/a,n/a,n/a,n/a,n/a,n/a,unknown,unknown,unknown,unknown,"In early 2025 the US imposed a 145% tariff on imports from China (specific product scope not detailed in this source), with China imposing a 125% retaliatory tariff on US goods; tariffs are described as introducing 'procurement concerns and significant unpredictability into the cost structures of robotics parts manufacturing, such as semiconductors and sensors'","In early 2025 the US imposed a 145% tariff on China-origin imports, with China retaliating at 125% on US goods; tariffs have introduced procurement concerns and cost-structure unpredictability specifically for robotics-parts manufacturing (semiconductors and sensors cited as examples).",https://www.automation.com/article/how-tariffs-are-reshaping-robotics-sourcing-and-what-to-do-about-it,Industry trade publication,unknown (references early-2025 tariff events),medium,fact,Not custom-manufacturing-specific (focused on components/semiconductors more than custom mechanical parts); tariff rates change frequently and should be re-verified at time of use,"Tariff figures are volatile - flagged as time-sensitive, verify current rate before relying on this number operationally"
R052,2026-09-19,US,Đa loại robot (cross-category),US Section 301 tariff on China-origin industrial robots,n/a,n/a,n/a,n/a,n/a,n/a,n/a,unknown,unknown,unknown,unknown,"Chinese-origin industrial robots face a 25% additional duty under Section 301 tariffs on the customs (CIF) value, per a robotics import/customs guide","Chinese-origin industrial robots face a 25% additional duty under current US Section 301 tariffs, calculated on customs (CIF) value.",https://www.evsrobot.com/import-industrial-robots-from-china-shipping-customs-guide.html,Logistics/customs-broker vendor site,unknown,low,"fact (vendor/broker claim, tariff rates should be independently verified as they change)","Applies to finished industrial robots, not necessarily custom mechanical sub-components sourced separately - scope distinction flagged",
R053,2026-09-19,AU,Đa loại robot (cross-category),Australian robotics/automation import dependence and BOM cost structure,n/a,n/a,n/a,n/a,n/a,n/a,n/a,unknown,unknown,unknown,unknown,"85-90% of mobile robot units in the AU/Oceania market are sourced from overseas manufacturers (Europe, North America, increasingly China), entering via specialized distributors/system integrators; imported component prices (LiDAR sensors, onboard computers, battery packs) represent 40-50% of base-unit BOM cost; manufacturing lead time for standard robots is cited as 45-60 days from order confirmation plus 30-45 days sea freight (to European ports in this source's example)","85-90% of mobile robot units in the Australia/Oceania market are sourced from overseas manufacturers; imported components (LiDAR, onboard computers, battery packs) represent 40-50% of base-unit BOM cost; cited lead time is 45-60 days manufacturing plus 30-45 days sea freight.",https://www.indexbox.io/store/australia-and-oceania-mobile-robot-base-units-market-analysis-forecast-size-trends-and-insights/,"Market research report (paid/aggregator, summary-level access only)",unknown,low,"fact (market-report figures, not independently re-verified, and freight lead time example was to European ports, not explicitly AU ports - flagged)",Freight lead-time figure not confirmed AU-specific,
R054,2026-09-19,AU,Đa loại robot (cross-category),Australian manufacturing sector structural constraints on domestic robotics/automation capability,n/a,n/a,n/a,n/a,n/a,n/a,n/a,unknown,unknown,unknown,unknown,"Nearly 90% of Australian manufacturing capacity is dominated by small businesses; AU manufacturing employment fell by 8,700 workers (-1%) year-over-year to February 2026; the sector faces reliance on imported equipment, supply-chain disruptions, and skilled-labour shortage; AU sits below the global average of 132 robots per 10,000 manufacturing employees, with the gap widening","Nearly 90% of Australian manufacturing capacity is small-business-dominated; manufacturing employment fell 8,700 workers (-1%) year-over-year to February 2026; Australia's robot density (132 robots/10,000 employees global average) sits below the global average, with the gap widening, alongside structural reliance on imported equipment and a skilled-labour shortage.",https://www.manmonthly.com.au/a-roadmap-for-robotics-to-enhance-australias-modern-manufacturing-capabilities/,"Trade publication (Manufacturers' Monthly, AU)",unknown,medium,fact,Robot-density figure's exact source citation (IFR) not independently re-checked this pass,
R055,2026-09-19,AU,Đa loại robot (cross-category),Australian import/customs process for manufacturing equipment and machinery,n/a,n/a,n/a,n/a,n/a,n/a,n/a,unknown,unknown,unknown,unknown,"If machinery is not locally manufactured in Australia, importers may be eligible for a Tariff Concession Order (TCO) to reduce/eliminate duty; the Australian Border Force (ABF) has increased audits of HS classifications and component-level valuations, with complex machinery including control systems/electronics requiring careful customs assessment - a direct certification/inspection/customs-burden friction signal","Australian importers of non-locally-manufactured machinery may apply for a Tariff Concession Order (TCO) to reduce or eliminate import duty; the Australian Border Force has increased audits of HS tariff classifications and component-level valuations, with complex machinery requiring careful customs assessment.",https://controlgl.com/blog/importing-manufacturing-equipment-into-australia-complete-guide/,Logistics/customs guide (industry service provider),unknown,medium,fact,No primary Australian Border Force tariff-schedule citation located this pass (consistent with the same gap flagged in the #8/#10 dataset),Cross-references known gap from prior research pass; still unresolved
R056,2026-09-19,AU,Đa loại robot (cross-category),Australian manufacturing automation adoption context (2026 outlook),n/a,n/a,n/a,n/a,n/a,n/a,n/a,unknown,unknown,unknown,unknown,"Structural challenges cited include reliance on imported equipment, supply-chain disruptions, and a shortage of skilled labour influencing production capacity and investment decisions","Australian manufacturing automation adoption in 2026 is framed against structural challenges of imported-equipment reliance, supply-chain disruption, and skilled-labour shortage.",https://fast-automation.com/blog/post/manufacturing-automation-australia-2026,Industry/vendor blog (AU automation integrator),2026,low,"fact (vendor/industry blog framing, directionally consistent with other AU sources)",No new quantitative data beyond what other AU rows already carry,
R057,2026-09-19,US,Đa loại robot (cross-category),MRO / spare-part replacement for automation and robotics equipment,Equipment operator/maintenance team,n/a (varies),Reverse-engineered replacement part (obsolete/legacy),unknown,CNC machining (reverse-engineered from CAD model and/or physical part),Production-grade tight tolerances matched to OEM quality standards,Replacement/repair stage explicitly (not prototype or new production),unknown,"Repeat/replacement signal is the defining characteristic of this row - MRO parts exist specifically because original equipment ages and needs replacement, especially where the OEM no longer supports the part",unknown,unknown,"Emergency MRO situations are explicitly called out as needing fast (days-scale) turnaround, implying normal-channel lead times are a real pain point being solved for","Custom or machine-specific MRO parts are particularly needed for older/legacy equipment where the original manufacturer no longer provides support; custom CNC-machined parts can often be reverse-engineered and shipped in a matter of days for emergency MRO situations, with manufacturers producing spare parts to OEM-equivalent quality standards from CAD models and/or prints.",https://www.boona-prototypes.com/mro-cnc-machining-obsolete-parts/,Manufacturer/vendor blog,unknown,low,fact (vendor claim),Not robotics-specific by name (general industrial MRO); applied by direct relevance since robots are industrial equipment subject to the same MRO dynamics,"Directly answers the issue's 'replacement/spare/repair' lifecycle-stage requirement, which is otherwise thin across the dataset"
