fact_id,robot_category,country,buyer_user,use_case,lifecycle_stage,adoption_growth_signal_raw_claim,confidence,fact_hypothesis_inference,missing_unknown,source_url
R119,Multiple,AU,unknown,unknown,N/A,"AU robotics market sized at US$1.7B in 2025, projected to reach US$6.9B by 2034 (16.03% CAGR, 2026-2034); Australian government responses include the Modern Manufacturing Strategy and Advanced Manufacturing Growth Centre (AMGC) funding aimed at raising local production capacity and reducing import reliance, particularly for SMEs.",medium,fact,Component-level (vs. whole-base-unit) AU import-dependency percentage not found.,https://www.indexbox.io/store/australia-and-oceania-mobile-robot-base-units-market-analysis-forecast-size-trends-and-insights/
R120,Multiple,AU,unknown,unknown,N/A,"Australia's National Robotics Strategy (Dept. of Industry, Science and Resources) frames robotics adoption/local-capacity-building as a named national priority; industrial-policy academic literature (2026) discusses 'institutionally embedded industrial policy' for building state manufacturing capacity under the 'Future Made in Australia' initiative.",high,fact,No specific budget/funding-amount figure for the National Robotics Strategy captured in this pass.,https://www.industry.gov.au/publications/national-robotics-strategy/australias-robotics-opportunity
R121,Humanoid / general-purpose,US,"OEM (own-factory internal use, Tesla); industrial pilots (Figure, Apptronik)",Internal factory automation / industrial pilot,early-production,"Tesla deployed 1,000+ Optimus Gen 3 units into its own factories starting January 2026, with a stated ~100,000-unit 2026 target and 1-million/year target by 2028 (gap flagged between target and observed production: Fremont Model S/X line conversion to Optimus assembly mid-2026, initial units to internal training, commercial production timeline slipped toward late July/August 2026); Figure AI surpassed 10,000 deployments across partner warehouses; Apptronik closed a $5.3B Series A (Feb 2026, $6.2B post-money) and partners with Mercedes-Benz, NASA and Jabil.",medium,fact,"Tesla's stated 100,000-unit 2026 target vs. actual observed production (units 'targeted' for late July/August 2026, not confirmed shipped) is a gap between company claim and independent verification — flagged, not resolved.",https://www.rivcut.com/manufacturing-news/humanoid-robot-factories-2026/
R122,"Multiple (industrial arm, cobot, humanoid)",unknown,unknown,unknown,N/A,"Industrial robot reducers, gearboxes, pivot bushings and bearings require periodic grease lubrication; formulations must resist oil/thickener separation under high G-forces at coupling points; Nabtesco (Japan) makes both hollow-shaft and compact precision reduction gears for robotics; Baoxing's BX-800/G series is a named Chinese noise-reducing grease widely used in robot reducers, motors and gearboxes.",medium,fact,No US-specific robot-lubricant manufacturer identified in this pass.,https://www.lubesngreases.com/magazine/26_6/robots-need-lubes-too/
R123,"Multiple (industrial arm, cobot, humanoid)",unknown,unknown,unknown,N/A,"Shaft couplings in robot joints use O-ring-sealed grease chambers for lubrication; the issue's named Motion-chain items (shaft, fastener) are treated in available sources primarily as generic precision-machined/off-the-shelf hardware rather than robotics-specific branded components -- no dedicated 'robot fastener' or 'robot shaft' market report or manufacturer ranking was located distinct from general CNC/bearing/coupling suppliers already logged.",low,inference,"Confirmed as a genuine coverage gap: no distinct shaft/fastener-for-robotics market or supplier-base source found, separate from general CNC-machining/bearing coverage already in this dataset. Logged explicitly rather than silently substituting general fastener-industry data.",https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11424661
R124,Multiple,US,Manufacturing sector (all industries),Industrial robot installation (primary IFR data),commercial,"US industrial robot installations rose 11% year-on-year to 38,000 units in 2025 per IFR; automotive remains the largest adopter at 13,500 units (-1% YoY); food-industry adoption surged 30%, reaching ~3,000 installations alongside metal/machinery and electrical-electronics (~3,000 each); US robot density is 307 industrial robots per 10,000 manufacturing employees; global installations grew 15% to a record 621,000 units; World Robotics 2026 full report scheduled for publication 24 September 2026.",high,fact,"Full World Robotics 2026 report (with AU-specific figures) not yet published as of this pass's search date -- flagged for follow-up after Sept 24, 2026.",https://ifr.org/ifr-press-releases/news/us-robot-industry-returns-to-double-digit-growth
R125,Mining / autonomous haulage robot,AU,"Iron ore / copper mining operators (Rio Tinto, BHP, FMG)",Autonomous haul truck / drilling rig fleet,commercial,"Rio Tinto operates 130+ autonomous Komatsu 930E haul trucks (320t loaded) across Pilbara (WA) iron-ore operations, running 24/7 with no onboard driver; Rio Tinto, BHP and FMG together operate the world's largest autonomous-vehicle fleets, hauling billions of tonnes of iron ore with no human drivers; Australia is described as 'the undisputed world leader' in autonomous mining, operating at a scale/sophistication no other country has matched; Pilbara hosts hundreds of AI-driven haul trucks and remote-operated drilling rigs.",high,fact,No supply-chain/component-level (subsystem/BOM) detail for autonomous haul trucks located in this specific search round -- flagged for a follow-up pass if this category is pursued further.,https://www.miningdoc.tech/2026/04/28/from-one-truck-to-thousands-the-global-rise-of-autonomous-mining/
R126,Mining / autonomous haulage robot,AU,"Copper mining operator (BHP, Chile -- included as comparable operational benchmark)",Fully autonomous open-pit mine site,commercial,"BHP announced (Jan 2026) that its Escondida Norte copper pit is fully autonomous: 33 trucks and 11 drills operate 24/7, moving ~350,000 tonnes/day (30% of site output); BHP, Rio Tinto and Caterpillar launched a trial of two Cat 793 XE Early Learner battery-electric haul trucks at a WA Pilbara mine site in 2026 as an industry-first collaboration.",high,fact,"Escondida Norte is in Chile, not AU/US -- included as a directly comparable operational data point from the same named AU-active operator (BHP), not as an AU-market fact itself.",https://www.sec.gov/Archives/edgar/data/0000863064/000086306426000033/ex7d23caterpillar_mr.htm
R127,Multiple,US,unknown,unknown,N/A,"US Census Bureau Foreign Trade data (census.gov/foreign-trade) provides monthly merchandise import data by HTSUSA code, country of origin and customs district, enabling commodity-level tracking of industrial-robot imports; total US goods imports from China were $18,955.6M (Feb 2026), $21,057.9M (Jan 2026) and $21,104.3M (Dec 2025) -- whole-economy figures, not robot-specific.",medium,fact,"No robot-specific (HTS 8479.50 or similar code) import-volume/value figure was extracted in this pass -- the Census Bureau source exists and is named/linked, but commodity-level robot-only figures were not retrieved; flagged for a dedicated customs-data follow-up query.",https://www.evsrobot.com/import-industrial-robots-from-china-shipping-customs-guide.html
R128,Maker / hobby / education robot,Global,Hobbyist CNC/3D-printing community,Hobby fabrication tool choice,N/A,"In a survey of 300+ hobby CNC enthusiasts, CNC mills/routers made up ~70% of machines owned, with 3D printers and lathes following as secondary choices.",low,fact,"Survey is of hobby-CNC enthusiasts specifically, not the broader maker/hobby robotics community, and not US/AU-segmented -- so this is the closest quantitative data found but does not fully close Pass-1 gap #8 (robot-specific 3D-printing-vs-CNC share); logged as a partial, imperfect answer rather than silently treated as definitive.",https://www.cnccookbook.com/heres-scoop-machines-hobby-cncers-theyre-making/
R129,Humanoid / general-purpose,Global,unknown,unknown,N/A,"1X Technologies plans 10,000 hands in 2026 using tendon-drive actuator packs with polymer tendons instead of rigid gearboxes; Schaeffler's CES 2026 actuator (two-stage planetary gear, 60-250 Nm) is engineered to cover roughly half of a humanoid robot's total actuator content; the source explicitly recommends humanoid OEMs 'identify a second qualified actuator source' in 2026 before the market consolidates to 2-3 winners -- itself a China-dependency-risk signal.",medium,fact,No comparable US-based high-volume dexterous-hand manufacturer identified in this pass.,https://robotics.techbuzzchina.com/reports/robot-hands-china.html
R130,Multiple,US,unknown,unknown,N/A,"US industrial robot installations grew 11% in 2025 to 38,000 units after two consecutive years of decline, described in-source as a driver of increased CNC-robotics-parts sourcing activity; CNC-machined robotic parts are characterized as moving 'from a niche purchasing category into a serious sourcing priority in 2026.'",medium,fact,No quantified reshored-volume or reshored-dollar-value figure located.,https://leweiprecision.com/cnc-machining-reshoring-usa/
R135,Multiple,US,VC-backed robotics/humanoid startups,Startup funding (2026 aggregate),N/A,"Global robotics-startup funding reached US$18.8B in 2026 (vs US$15B for the full year 2025); some trackers report robotics companies raising as much as US$55.8B in 2026 depending on methodology (kept as a separate, materially different figure per the raw-data rule, not merged/averaged); humanoid-robot startups alone raised US$8.6B in 2026, 1.8x all of 2025; the US leads humanoid-startup funding with US$3.02B and 28 startups (vs China's 26); Figure AI has raised ~US$2.34B (US$39B valuation); Apptronik raised a $520M Series A Extension; Skild AI raised $1.4B.",medium,fact,Two materially different total-robotics-funding figures ($18.8B vs $55.8B) found in the same search round for the same year -- both kept as separate records per the 'do not merge contradictory sources' rule (mirrors Pass-1 gap #9's cobot-market-size pattern).,https://news.crunchbase.com/robotics/startup-venture-funding-surges-2026-data/
R136,Service robot,AU,Aged-care residential facility operator (mecwacare),Companion / eldercare robot,commercial,"Andromeda Robotics (Melbourne) and mecwacare completed Australia's largest rollout of humanoid companion robots in aged care: 22 'Abi' robots operating full-time across all mecwacare residential homes, supporting 1,500+ residents; Abi is fluent in 90 languages, recognizes faces, remembers past conversations, and participates in group activities; positioned explicitly as working alongside care staff, not replacing them.",high,fact,Unit cost / commercial contract value not disclosed in this source.,https://hellocare.com.au/australias-largest-rollout-of-humanoid-companion-robots-signals-new-era-in-aged-care/
R137,Inspection / field robot,Global,Offshore energy / subsea infrastructure operators,Underwater ROV/AUV inspection,commercial,"Offshore AUV/ROV market valued at US$4.11B in 2026, projected to reach US$6.78B by 2031 (10.54% CAGR); Oceaneering International holds ~22% global market share; other named leaders: Teledyne Technologies, Kongsberg Gruppen, Saab Seaeye, Fugro; North America is named as a significant region for this sector (not further quantified).",medium,fact,No AU-specific underwater-ROV adoption or supply figure located (relevant given AU's offshore oil/gas and marine-infrastructure base) -- flagged gap.,https://www.mordorintelligence.com/industry-reports/offshore-auv-rov-market
R138,"Multiple (humanoid, cobot, AMR)",US,unknown,unknown,N/A,"Harmonic Drive LLC (Beverly, Massachusetts) is a US-based manufacturing/sales entity of the Japan-originated Harmonic Drive Group, producing zero-backlash strain-wave gears domestically; Cone Drive (US) and Sumitomo Drive (US operations) are additional named US-based strain-wave-gearbox suppliers.",medium,fact,No US-vs-China or US-vs-Japan reducer production-volume comparison located to quantify how much of US demand these domestic entities actually serve vs. imports.,https://www.harmonicdrive.net/
R139,Cobot / industrial arm / machine tending,AU,"Manufacturing SMEs (food processing, packaging)",Cobot adoption for cost-effective automation,growth,"Australia's robotics-in-manufacturing installed base reached 4.6 thousand units in 2025, projected to reach 17.4 thousand units by 2034 (15.44% CAGR); Australian Cobotics Centre (ARC-funded industry training/transformation centre) is a dedicated national research body for collaborative robotics in advanced manufacturing; cobot rental is available in the AU market at A$1,000-3,000/month including maintenance/software/support, explicitly lowering the SME adoption barrier; research on Australian-SME adoption found 'innovativeness' as the most significant adoption factor and presence of an internal 'project champion' as the second.",medium,fact,No AU-specific cobot unit-price or China-vs-non-China cobot brand-share breakdown for the AU market located.,https://www.imarcgroup.com/australia-robotics-in-manufacturing-market
R140,Maker / hobby / education robot,Global,unknown,unknown,N/A,"Most hobbyist robotics projects combine Arduino (low-level motor/encoder/servo control, $10-25) with Raspberry Pi (high-level compute -- vision, path planning, ROS integration, $35-75+); Raspberry Pi is manufactured under contract by Sony; Qualcomm acquired Arduino (announced Oct 7, 2025), integrating it into its Dragonwing edge-AI product line; Raspberry Pi 5 pricing rose to $205 for a 16GB model (a 70% premium over the original $35 MSRP) attributed to an AI-driven DRAM shortage.",medium,fact,No AU-specific hobbyist-board pricing/availability data located.,https://jlcpcb.com/blog/arduino-vs-raspberry-pi
R141,Multiple,Global,unknown,unknown,N/A,"China's robotics industrial policy operates at national (15th FYP strategic-industry designation, Humanoid Robot Action Plan with explicit domestic-supply-chain-building mandate), provincial (Jiangsu consumer subsidy) and municipal/district (Shenzhen Futian/Longgang cluster and subsidy programs) levels simultaneously.",high,fact,none,https://jamestown.org/policy-support-for-robotics-firms-shows-defense-integration/
R142,Multiple,US,unknown,unknown,N/A,"UL, SGS and TUV SUD all offer dedicated robotics safety testing/certification service lines in the US market as of this pass, indicating compliance is a recognized, monetized step in the US robotics go-to-market process distinct from the underlying ISO standard itself.",medium,fact,No specific dollar cost figure for UL/ANSI robot certification was located in this pass -- a real gap (certifiers do not publish list pricing).,https://www.ul.com/services/robotic-safety-security-and-performance
R143,Multiple,AU,unknown,unknown,N/A,"AU's combined effective import cost on Chinese-origin robotics machinery can be as low as 10% (GST only, if ChAFTA/TCO duty-free) or as high as ~15% (5% duty + 10% GST) depending on classification and concession eligibility -- markedly lower than the US's 25%+ Section 301-driven tariff on the same Chinese-origin robotics goods.",medium,inference,No official Australian Border Force primary-source citation was captured directly in this pass (aggregator source only) -- flagged for a follow-up using the ABF tariff classification database directly.,https://www.calcmytariff.com/country/australia
R144,"Multiple (humanoid, cobot, AMR)",Global,unknown,unknown,N/A,"Named power-electronics suppliers for robot joint servo drives, mobile robots and AGVs span Advanced Energy (US, AC-DC PSU + DC-DC for collaborative robots/AGVs), Traco Power (Switzerland), RECOM (Austria), Axiomatic Technologies and ABSOPULSE (Canada), and TPS Elektronik (Germany, HCLS1 DC-DC family for compact high-efficiency joint servo-drive power).",low,supplier-claimed,"No China-based power-electronics-for-robotics supplier identified in this search round -- logged as a negative finding, not assumed absent.",https://www.advancedenergy.com/en-us/applications/industrial/transport-robotics/
R145,Humanoid / general-purpose,Global,unknown,unknown,N/A,"NVIDIA's SONIC is described as a general-purpose whole-body controller acting as a humanoid robot's 'motor system,' translating high-level commands into coordinated full-body motion, documented in a 2026 Science Robotics paper; Chinese examples include Yibajwu Robotics' 2026 hierarchical dynamics-optimization model (fusing real-time joint signals with historical optimization data) and Zhejiang University of Technology's reinforcement-learning approach to running/jumping gait design.",medium,fact,"Software/algorithm layer, not a physical-component supply-chain fact -- included because the issue's Compute/controller subsystem spans both; no market-share/commercialization data for whole-body-control software located.",https://techxplore.com/news/2026-09-ai-vr-video-language-humanoid.html
R146,Startup-built custom robot systems,US,Hardware startup (concept to pre-production),Prototype cost budgeting,N/A,"US hardware-prototype cost bands (2026): proof-of-concept US$2,000-8,000; functional prototype US$5,000-15,000; pre-production (final-spec-matching) prototype US$10,000-30,000; most consumer-hardware programs land at US$5,000-25,000 for a first meaningful prototype, then a similar amount again across 2-3 iterations; small-batch manufacturing runs US$15-80/unit depending on complexity, with typical minimums starting at 20 units; average BOM cost has risen ~12% due to specialized-semiconductor and materials cost increases; standard budgeting guidance adds a 25% contingency to engineering-labor estimates.",medium,fact,"This is a general hardware-startup cost source, not robotics-specific or team-size-segmented -- partially closes Pass-1 gap #7 (small-team tooling/cost scale) with the best proxy located, explicitly flagged as a proxy rather than a robotics-specific figure.",https://calcix.net/guides/business-startup/hardware-product-development-budgeting-guide
R147,Multiple,Global,unknown,unknown,N/A,"China's sheet-metal fabrication ecosystem for robotics/electronics enclosures is geographically concentrated (Pearl River Delta, >70% of top-tier suppliers) and vertically bundled (DFM engineering through laser cutting, CNC bending and finishing in one vendor); the single named US comparator (Komaspec) offers a comparable process range (laser cutting, CNC bending, manual/robotic welding, stamping) but without a quantified US capacity-share figure.",low,supplier-claimed,No quantified US sheet-metal-for-robotics capacity/market-share figure located for direct comparison to China's 70%+ Pearl River Delta concentration.,https://yijinsolution.com/industry-insights/top-10-sheet-metal-fabrication-companies-robotics/
R148,Multiple,AU,Government research agency (CSIRO),"Cross-sector robotics R&D (agriculture, mining, manufacturing, defence, energy)",N/A,"CSIRO Robotics (Brisbane, Queensland) is Australia's national-science-agency robotics R&D body, partnering with companies/government/industry in Australia and globally across agriculture, advanced manufacturing, mining, biodiversity/biosecurity, environmental monitoring and cultural heritage; 2026 initiatives include repurposing mining-derived autonomous robots for solar-farm inspection/maintenance, an EPE-CSIRO defence/security robotics testing facility (MILTECS, Pullenvale) serving defence/law-enforcement/agriculture/manufacturing/mining, and a A$10M Green Metals Innovations Network (co-led with the Heavy Industry Low-carbon Transition CRC) for sustainable-mining robotics/automation.",high,fact,No CSIRO robotics program budget total (beyond the named A$10M Green Metals initiative) located.,https://research.csiro.au/robotics/
R149,Humanoid / general-purpose,Global,Global humanoid-robot buyers,"Humanoid unit shipments (OEM-level, not SKU)",early-production,"Unitree Robotics (Hangzhou) became the world's top humanoid seller in 2025, revenue surging to 1.71B yuan (~US$250M) in 2025 from 392M yuan (~US$57M) in 2024; CEO Wang Xingxing forecasts 10,000-20,000 unit deliveries in 2026; over 40% of Unitree's revenue is generated overseas; Unitree filed for a Shanghai IPO (US$610M) in March 2026 and completed a blockbuster market debut in August 2026. UBTech (founded 2012, first humanoid company to go public, 2023) produced ~1,000 humanoid units in 2025 and has run at a loss since at least 2020.",high,fact,"This is the finished-unit (OEM) level, not component-level -- the issue's scope-lock (no supplier-product/SKU mining) is respected; component-level detail for Unitree/AgiBot/UBTech products is explicitly out of scope for this pass.",https://www.trendforce.com/presscenter/news/20260409-13007.html
R150,Multiple,US,unknown,unknown,N/A,"US semiconductor export-control policy toward China is in active flux in 2026 -- alternating between tightening (subsidiary-loophole closure, proposed Congressional override) and easing (case-by-case review replacing presumption-of-denial for certain chip tiers) within the same year, tied to broader US-China trade negotiations.",medium,fact,"Direct linkage from these chip-export-control rules to robotics-specific edge-AI-chip supply (as opposed to general AI/data-center GPUs) was not explicitly quantified in sources found this round -- inference, not directly confirmed for robotics compute modules specifically.",https://eastasiaforum.org/2026/03/11/us-chip-export-controls-have-cooled-down/
R151,AMR / warehouse / logistics,China,unknown,unknown,N/A,"China-based mecanum-wheel/drivetrain-module suppliers offer vertically-integrated (motor+gearbox+encoder+sensor+suspension) AMR wheel modules at stated load ratings up to 4,500kg; KUKA (Germany) is the named non-China incumbent, offering Omnimove mecanum-wheel omnidirectional drive technology for heavy industrial AMR platforms.",low,supplier-claimed,No US-based mecanum-wheel/drivetrain-module manufacturer identified in this search round.,https://www.roboct-global.com/mobile-robot-components/mecanum-wheel/
R152,Agriculture robot,Global,unknown,unknown,N/A,"Agriculture-grade RTK-GNSS modules (used for autonomous-tractor/robot guidance) achieve decimeter-to-centimeter positioning accuracy; named suppliers span Belgium (Septentrio), Taiwan (LOCOSYS, dual-frequency dual-antenna RTK-4671-MHPD for precision ag/drones), China (CHC Navigation, Unicore) and Japan (Topcon, full autosteering for ag machinery).",low,supplier-claimed,No market-share breakdown among these named GNSS suppliers for the agriculture-robotics segment specifically located.,https://en.unicore.com/gnss-agriculture/
R153,Cobot / industrial arm / machine tending,unknown,unknown,unknown,N/A,"ISO/TS 15066 (the world's first collaborative-robot-specific safety specification, supplementing ISO 10218-1/-2) defines four collaborative-operation modes: safety-rated monitored stop, hand guiding, speed-and-separation monitoring, and power-and-force limiting (PFL); PFL uses joint torque sensing, motor current monitoring, or dedicated force sensors to detect human contact and limit contact force/pressure below injury thresholds defined in ISO/TS 15066 Table A.2, which specifies limits for 29 specific body areas grouped into 12 body regions.",high,fact,No manufacturer-level component (which named torque-sensor/current-monitoring chip suppliers implement PFL compliance) breakdown located in this specific search round.,https://www.automate.org/robotics/tech-papers/iso-ts-15066-explained
R154,"Multiple (AMR, mobile cobot)",unknown,unknown,unknown,N/A,"Most industrial robots remain wired because current wireless speeds cannot support the data throughput of a warehouse-scale robot fleet; 5G Ultra-Reliable Low-Latency Communication (URLLC) is positioned as the technology enabling motion control, mobile-robot control and safety functions to move wireless, letting robots move freely across a factory/campus's full 5G coverage; a named example: a Beijing automaker deploying 5G industrial transfer robots using Qualcomm and Thundercomm (China) 5G/AI technology.",medium,fact,No US or AU factory-scale 5G-robotics deployment example located in this search round (only the China/Beijing example) -- flagged as a US/AU adoption-lag data gap for this specific technology.,https://www.i4verse.com/article/role-of-5g-in-enabling-advanced-robotics-and-ai-in-manufacturing
R155,Startup-built custom robot systems,US,Pre-seed/seed hardware-robotics founders,Accelerator/incubator support,N/A,"HAX (part of SOSV) is named as one of the few accelerators purpose-built for hardware/robotics, headquartered in Newark, NJ with deep Shenzhen engineering-support roots and an SF presence; provides up to US$500,000 early investment plus daily hands-on engineering support via a 6-month 'build-first' residency (focus: industrial automation, robotics, advanced materials, climate/health hardware, 'atoms + AI'); since opening its Newark site (spring 2024), HAX has backed 50+ startups, created 160+ jobs, and those companies have collectively raised $60M+ in follow-on funding. Y Combinator's recent batches are described as having become 'unmistakably physical-AI heavy.'",medium,fact,No AU-based hardware-robotics accelerator/incubator with comparable scale identified in this pass -- a specific AU startup-support-infrastructure gap.,https://www.peony.ink/blog/hardware-accelerators
R156,Maker / hobby / education robot,Global,unknown,unknown,N/A,China 3D-printer-filament suppliers offer 1.75mm/2.85mm diameter options across PLA/ABS/PETG/TPU with +/-0.02mm precision tolerance and flexible MOQs; several named suppliers report 100% on-time delivery rates in the source (self-reported).,low,supplier-claimed,No US-based filament manufacturer's market share identified for direct comparison.,https://jingsourcing.com/p/wholesale-3d-printing-filament/
R157,Startup-built custom robot systems,US,Hardware/robotics startups and OEMs,On-demand manufacturing marketplace (CNC/3D-print/injection-molding sourcing),N/A,"Xometry, Protolabs and Fictiv are the three most-cited on-demand/digital manufacturing marketplaces used by US hardware/robotics startups, spanning CNC machining, 3D printing, injection molding and sheet metal; Fictiv is specifically named as building parts for robots, with Amazon Robotics cited as a client.",medium,fact,No equivalent AU-based on-demand-manufacturing marketplace identified with comparable scale in this search round.,https://en.wikipedia.org/wiki/Xometry
R158,Inspection / field robot,Global,unknown,unknown,N/A,"Highest-demand 2026 commercial drone services are infrastructure inspection (roofing, power lines, cell towers), construction-progress monitoring, agricultural crop monitoring/spraying, and public-safety support -- directly overlapping the issue's Inspection/field robot and Agriculture robot categories.",high,fact,No AU-specific DJI-restriction policy (comparable to the US NDAA exclusion) identified in this pass.,https://en.wikipedia.org/wiki/DJI
R159,Multiple,China,Robotics OEMs / startups (component sourcing),Local component-cluster sourcing speed,N/A,"Shenzhen's hardware ecosystem enables robotic-arm prototyping in days rather than months, attributed not just to price but to suppliers' comfort with short development cycles and frequent design changes -- a structural speed/flexibility advantage distinct from (and compounding) the raw cost advantage documented elsewhere in this dataset.",medium,fact,"Source is independent commentary, not a primary government/institutional source for the enterprise-count and output-value figures -- flagged as needing primary-source corroboration (e.g. Shenzhen municipal statistics bureau) if used for a decision.",https://corematter.substack.com/p/inside-chinas-robotics-supply-chain
R160,Multiple,AU,unknown,unknown,N/A,"AUSFTA capital-goods tariff elimination is bilateral and near-total, meaning AU-US robotics/machinery trade in either direction faces materially lower tariff friction (effectively ~10% AU-side, per the GST-equivalent Section 122 surcharge) than either country's trade with China under Section 301/general-MFN tariffs.",high,fact,No robotics-specific (vs. general capital-goods) AUSFTA tariff-line detail located.,https://www.dfat.gov.au/about-us/publications/trade-investment/australia-united-states-free-trade-agreement-guide-to-the-agreement/Pages/ausfta-guide
R161,Service robot,US,Food delivery platforms / university campuses / retailers,Sidewalk last-mile delivery robot,commercial,"Sidewalk delivery-robot fleets (Yango, Starship, Serve Robotics, Cartken, Coco) grew 3.2x from 2025 to Q2 2026; 30+ US states had delivery-robot laws enabling wider deployment as of early 2026; Starship reports 9M+ autonomous deliveries, 2,700+ robots, 150+ locations including 60+ US university campuses, targeting 12,000+ robots by 2027; Serve Robotics (spun out of Uber, 2021) deployed 1,000 3rd-gen robots by 2025, partnered with Uber Eats; Kiwibot rebranded to Robot.com (2025), 500+ robots across US/Canada/Middle East via Sodexo/Grubhub/Aramark partnerships; Coco Robotics targets 10,000 robots by end of 2026.",medium,fact,No AU sidewalk-delivery-robot deployment or regulatory-status data located.,https://cxtms.com/blog/autonomous-delivery-robots-beyond-sidewalks-state-laws-last-mile-2026
R162,Exoskeleton / wearable robot,US,"Automotive/aerospace manufacturers, logistics/warehouse operators",Passive/active exoskeleton for ergonomic support,commercial,"US exoskeleton market sized at US$1.02B in 2026 (North America overall projected US$1.37B in 2026); manufacturing (notably automotive/aerospace) accounts for 68% of exoskeleton shipments/revenue within the industrial segment, followed by construction, oil/gas, energy/utilities, agriculture and mining; upper-body exoskeletons hold 45.74% product-type share in 2026; NASA, Boeing and GM have deployed passive exoskeletons as standard warehouse-operations equipment; Toyota has deployed hundreds of Levitate Technologies-designed exoskeleton suits across US manufacturing plants.",medium,fact,No AU exoskeleton-market or deployment data located in this pass.,https://www.fortunebusinessinsights.com/wearable-robotic-exoskeleton-market-104664
R163,"Multiple (humanoid, cobot, AMR)",China,unknown,unknown,N/A,"China-based encoder manufacturers serve elevator, motor, CNC, textile, robot, wind-power, medical and assembly-line-equipment end markets; German (Kubler, Hengstler) and Japanese (Koyo, Yokogawa) manufacturers are named as the non-China incumbent alternative.",low,supplier-claimed,No price or market-share comparison between Chinese and German/Japanese encoder makers located in this pass.,https://www.shhxgd.com/
R164,Multiple,US,unknown,unknown,N/A,"TSMC's first Arizona fab is operational, achieving yields 'as good as' its flagship Taiwan fab, and is manufacturing chips for NVIDIA's Blackwell AI processors -- the first time TSMC has produced cutting-edge AI silicon outside Taiwan; TSMC is investing a further US$100B in Arizona expansion (total project scope raised to US$265B), with a second fab moving in equipment, a third under construction, and preparatory work started on a fourth fab plus the site's first advanced-packaging facility; the completed Arizona footprint is planned at 12 fabrication/advanced-packaging facilities plus an R&D center.",high,fact,"No figure located for what share of NVIDIA Jetson (robotics edge-AI) chips specifically will be fabricated in Arizona vs. Taiwan -- the Arizona ramp is documented at the general AI-chip level (Blackwell/data-center), not confirmed for the robotics-specific Jetson/Thor line.",https://www.enr.com/articles/63349-tsmc-arizona-megaproject-grows-to-265-billion
R165,Multiple,US,unknown,unknown,N/A,"China's rare-earth export-control architecture in 2025-2026 operates through multiple mechanisms simultaneously: element-specific licensing, end-use disclosure, and (temporarily suspended) an extraterritorial foreign-direct-product rule -- with measured 40-50% shipment-volume drops to the US for several critical elements during the restriction period.",high,fact,"No AU-specific rare-earth shipment-volume impact figure located (AU is itself a rare-earth miner via Lynas, but this pass did not locate AU import-dependency data for processed rare-earth magnet inputs specifically).",https://www.csis.org/analysis/rare-earth-export-restrictions-one-year-later
R166,"Multiple (humanoid, AMR, cobot)",Global,unknown,unknown,N/A,"NVIDIA Isaac Sim (built on Omniverse) provides GPU-accelerated physics simulation, multi-sensor RTX rendering, synthetic data generation, reinforcement learning and ROS 2 integration for developing AMRs, robot arms/manipulators and humanoids; Isaac ROS is built on the open-source ROS 2 framework used by 'millions of developers'; GTC 2026 announced an early Isaac Sim 6.0 release with enhanced ROS 2 Jazzy support, new 'Robot Inspector'/'Robot Poser' developer tools, and a new physics engine ('Newton') released publicly.",high,fact,"Software/simulation-tooling layer, not a physical-component supply-chain fact -- included as Compute/controller-adjacent tooling per the issue's chain including 'Compute/controller' broadly; no China-based competitor simulation platform identified in this search round.",https://developer.nvidia.com/isaac
R167,Agriculture robot,US,Row-crop and specialty-crop farm operators,Labor-shortage-driven automation demand,N/A,"US farm-labor shortage is explicitly and repeatedly named in agricultural-policy sources as the primary demand driver behind agricultural-robot adoption (weeding, harvesting, irrigation, crop monitoring), directly reinforcing this pass's earlier Carbon Robotics/Harvest CROO/FarmWise records (Round 2) with the underlying labor-economics driver rather than just the product-level adoption facts.",medium,fact,No equivalent AU farm-labor-shortage quantification located in this specific search round for direct US/AU comparison.,https://news.ncsu.edu/2026/09/policy-and-automation-are-key-solutions-to-ag-labor-shortages/
R168,Maker / hobby / education robot,US,unknown,unknown,N/A,"Digi-Key and Mouser are named as the two largest electronic-component distributors serving hobbyists/prototypers, both offering same-day shipping to 180+ countries and no-minimum-order-quantity purchasing (suited to single-unit maker/prototype needs, unlike bulk-only industrial distribution); during the semiconductor chip shortage, Mouser added 130+ new semiconductor/component-manufacturer lines to widen substitute-part availability, and Digi-Key expanded its Product Distribution Center by 2.2 million sq ft to meet demand.",medium,fact,No AU-based equivalent hobbyist-scale component distributor identified with comparable scale/shipping-speed data.,https://electronics360.globalspec.com/article/18708/mouser-now-stocking-electronic-components-from-36-new-vendors
