ID,Ngày thu thập,Quốc gia,Loại robot,Buyer/User,Use case,Lifecycle stage,Subsystem,Component,Material,Manufacturing process,Supplier/Company,Supplier country/region,China advantage signal,US/AU friction signal,Raw claim / fact,Source URL,Source type,Publication date,Exact evidence snippet / paraphrase ngắn,Confidence,Fact / Hypothesis / Inference,Missing / Unknown,Notes
R113,2026-09-19,unknown,Multiple,unknown,unknown,N/A,Perception / sensor,LiDAR (mechanical / solid-state),unknown,unknown,"Hesai Group; RoboSense; Huawei; Seyond; Valeo (automotive-origin, cross-applies to robotics); Velodyne (US, declined)","China (Hesai, RoboSense, Huawei, Seyond); France (Valeo); US (Velodyne, legacy)","Hesai and RoboSense (both China) are the two leading LiDAR suppliers for the humanoid/quadruped robotics segment in China per GGII rankings; Hesai's robotics-LiDAR shipments grew 5x to 239,000 units in 2025, RoboSense's grew 12x to 303,000 units in the same period; Hesai leads even the North America LiDAR market with vertically integrated production; five players (Hesai, Huawei, RoboSense, Seyond, Valeo) hold 90%+ combined automotive/robotics LiDAR market share, having displaced US-based Velodyne (historic market leader, now declined).",unknown,"Hesai Technology's total LiDAR shipments were projected at 1.2-1.5 million units in 2025 with ~200,000 for robotics; Hesai's robotics-segment shipments surged over 5x to 239,000 units in 2025; RoboSense's robot-LiDAR sales surged over 12x to 303,000 units in the 12 months ended Dec 31, 2025; both are China-based and have displaced the US's Velodyne as market leader.",https://www.yicaiglobal.com/news/chinas-robosense-hesai-see-robot-lidar-sales-surge-in-2025,industry publication / financial news,2025-2026,Paraphrase captured directly in the Raw claim / fact column above (see Source URL for original wording).,high,fact,No US-based robotics-LiDAR manufacturer with comparable scale identified in this pass — a specific US capacity gap.,
R114,2026-09-19,unknown,Multiple,unknown,unknown,N/A,Compute / controller,Edge AI compute module / SoC (on-robot inference),unknown,unknown,NVIDIA (Jetson Orin/Thor family); e-con Systems (carrier boards/integration),"US (NVIDIA, fabless; design in US)",unknown,unknown,"NVIDIA's Jetson Thor family (2026) includes the Jetson T3000 module - 865 FP4 teraflops, Blackwell GPU, 8-core Neoverse Arm CPU, 32GB LPDDR5X, 273GB/s bandwidth - and the entry Jetson T2000 (400 FP4 teraflops, 16GB) targeting AMRs and industrial manipulators; the Jetson Orin Nano 2 targets entry-level edge AI for delivery/inspection drones and robots at a 40W power envelope, ~2x inference performance of its predecessor at 40% less power.",https://www.edge-ai-vision.com/2026/07/nvidia-introduces-new-jetson-thor-computers-to-advance-mainstream-robotics-and-edge-ai/,industry publication / company announcement,2026-07,Paraphrase captured directly in the Raw claim / fact column above (see Source URL for original wording).,high,fact,"NVIDIA is fabless — actual chip fabrication (likely TSMC, Taiwan) not addressed in this source; no China-based competitor edge-AI-SoC-for-robotics identified in this specific search round.",
R115,2026-09-19,unknown,Multiple,unknown,unknown,N/A,Power,Battery pack (Li-ion cell + BMS),Lithium-ion (cylindrical/pouch cell chemistries),unknown,"Samsung SDI, LG Energy Solution, Panasonic Energy (non-China); CATL, BYD, EVE Energy, Gotion, CALB, Sunwoda, Farasis, REPT BATTERO, SVOLT (China)","Korea/Japan (Samsung SDI, LG Energy Solution, Panasonic); China (CATL, BYD, EVE, Gotion, CALB, Sunwoda, Farasis, REPT BATTERO, SVOLT)","BYD holds a market share exceeding 35% in warehouse-logistics AGV and airport-ground-handling-robot batteries specifically; roughly 60-70% of warehouse-robot batteries consumed in the US are sourced from Asian manufacturers, primarily China, South Korea and Japan.","As of 2026 the effective US tariff rate on many Chinese battery imports is 7.5-25% depending on product classification, reshaping robot-battery procurement decisions; LG Energy Solution signed an exclusive cylindrical-battery supply agreement with Bear Robotics (service/logistics robots) and Panasonic Energy signed a multi-year 2170-cell supply agreement with Zoox, showing non-China supply is being actively contracted for by some US robotics buyers.",BYD holds >35% share of warehouse-AGV/airport-ground-handling-robot batteries; ~60-70% of US warehouse-robot batteries are Asian-sourced (mostly China/Korea/Japan); Li-ion packs are ~80-90% of new robot battery installations by value as of 2026; US tariff on Chinese battery imports is 7.5-25% depending on classification.,https://manlybattery.com/top-robot-battery-manufacturers-in-2026-for-industrial-and-service-robots/,industry publication,2026,Paraphrase captured directly in the Raw claim / fact column above (see Source URL for original wording).,medium,fact,No AU-specific robot-battery sourcing-share figure located.,Extends Pass-1's R051 (battery cell import dependency) with named suppliers and a quantified tariff range.
R116,2026-09-19,unknown,Multiple,unknown,unknown,N/A,End-effector,Gripper (electric parallel/multi-finger),unknown,unknown,Schunk (DE); Festo (DE); OnRobot (DK); Robotiq (CA); DESTACO (US); SMC Corporation (JP); Applied Robotics (US),Germany/Denmark/Canada/US/Japan (no dominant China gripper OEM identified in this search),unknown,unknown,"Global Robot End-Effector market valued ~US$2,200.14M in 2026 (one tracker), projected to reach US$8,832.56M by 2035 (16.7% CAGR — note: figures as reported, magnitude discrepancy with other end-effector market reports not reconciled in this pass); electric grippers now account for 58% of industrial robotic end-effector sales, surpassing pneumatic grippers on energy efficiency/precision; Robotiq (founded 2008, Canada) targets SME-accessible automation; OnRobot's 2FG14/3FG25 (April 2024) supports 25kg payload across dozens of cobot brands via universal mounting plates; Schunk added AI-ready gripping tech in 2025.",https://www.giiresearch.com/report/tbrc1933554-robot-end-effector-global-market-report.html,market research report,2026,Paraphrase captured directly in the Raw claim / fact column above (see Source URL for original wording).,low,fact,"Market-size figure looks anomalously large relative to other end-effector reports found in this and Pass-1 research — flagged as a possible reporting/unit error, kept as its own record per raw-data rule rather than silently corrected or discarded. No dominant China-based gripper OEM was identified in this specific search round (unlike LiDAR/battery/bearing where China leads) — logged as a specific gap/negative finding, not assumed.",
R117,2026-09-19,unknown,Multiple,unknown,unknown,N/A,Communication,Industrial fieldbus (EtherCAT) master/slave IC and wireless (Wi-Fi) module,unknown,unknown,"Beckhoff Automation (DE, EtherCAT originator); Microchip Technology, Infineon, Renesas, Freescale/NXP, Atmel (chip vendors); Advantech (I/O modules)","Germany (Beckhoff); US/EU (Microchip, Infineon, Renesas chip vendors)",unknown,unknown,"EtherCAT (originated by Beckhoff Automation, Germany) is administered by the EtherCAT Technology Group (~2,400 member companies); EtherCAT Slave Controllers are available as ASIC, FPGA-based, or integrated into standard microprocessors from Microchip, Infineon, Renesas, Freescale and Atmel; wireless connectivity for EtherCAT-based systems can use modules such as Microchip's RN171 Wi-Fi module.",https://www.ethercat.org/en/technology.html,industry standards body (EtherCAT Technology Group),unknown,Paraphrase captured directly in the Raw claim / fact column above (see Source URL for original wording).,medium,fact,"No China-based EtherCAT/fieldbus chip supplier or China-advantage signal located for this specific component — opens the Communication subsystem (required by issue, not present in Pass 1) but with a US/EU/Germany-weighted evidence base only.",
R118,2026-09-19,US,Multiple,unknown,unknown,N/A,unknown,unknown,unknown,unknown,unknown,unknown,unknown,"Nearly 500,000 US manufacturing jobs remain unfilled as of this pass because factories increasingly require digital/robotics/AI skills current training systems cannot supply at scale; researchers project up to 1.9 million unfilled manufacturing jobs if the skills/applicant gap is not addressed; 26% of the manufacturing workforce is 55+ vs only 8% aged 16-24 (vs ~13% in other sectors); recruitment/retention has ranked the #1 manufacturer concern for 5 consecutive years, above inflation and tariffs.","US robot shipments are forecast to grow from ~45,000-46,000 units in 2025 to ~120,000 units by 2030, explicitly linked in the source to the labor-shortage-driven automation push; new roles cited as emerging from automation include Automation Technician, Controls Specialist, Maintenance Technician, Field Service Engineer.",https://www.etftrends.com/artificial-intelligence-content-hub/labor-shortage-is-forcing-a-robot-revolution-in-u-s-manufacturing/,industry/market publication,2026,Paraphrase captured directly in the Raw claim / fact column above (see Source URL for original wording).,medium,fact,none,"US-side structural friction/demand-driver record — workforce shortage as a demand signal for robotics adoption, distinct from a supply-chain friction."
R119,2026-09-19,AU,Multiple,unknown,unknown,N/A,unknown,Mobile robot base unit (general),unknown,unknown,unknown,unknown,unknown,"Australia/Oceania has no significant domestic production capacity for mobile robot base units; an estimated 85-90% of units arriving in the region are imported from overseas manufacturing facilities in Europe, North America and East Asia; Australia is described as broadly 'not a large-scale manufacturer of many robotics components,' requiring import from overseas suppliers across most categories.","AU robotics market sized at US$1.7B in 2025, projected to reach US$6.9B by 2034 (16.03% CAGR, 2026-2034); Australian government responses include the Modern Manufacturing Strategy and Advanced Manufacturing Growth Centre (AMGC) funding aimed at raising local production capacity and reducing import reliance, particularly for SMEs.",https://www.indexbox.io/store/australia-and-oceania-mobile-robot-base-units-market-analysis-forecast-size-trends-and-insights/,market research report,2025-2026,Paraphrase captured directly in the Raw claim / fact column above (see Source URL for original wording).,medium,fact,Component-level (vs. whole-base-unit) AU import-dependency percentage not found.,"Strong, explicit AU import-dependency figure (85-90%) — a rare quantified AU friction signal, directly useful given Pass-1's general AU-data thinness."
R120,2026-09-19,AU,Multiple,unknown,unknown,N/A,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,"Australia's National Robotics Strategy (Dept. of Industry, Science and Resources) frames robotics adoption/local-capacity-building as a named national priority; industrial-policy academic literature (2026) discusses 'institutionally embedded industrial policy' for building state manufacturing capacity under the 'Future Made in Australia' initiative.",https://www.industry.gov.au/publications/national-robotics-strategy/australias-robotics-opportunity,"government publication (Australian Dept. of Industry, Science and Resources)",unknown,Paraphrase captured directly in the Raw claim / fact column above (see Source URL for original wording).,high,fact,No specific budget/funding-amount figure for the National Robotics Strategy captured in this pass.,"Primary AU-government source, directly responsive to the issue's preference for institutional/government sources."
R121,2026-09-19,US,Humanoid / general-purpose,"OEM (own-factory internal use, Tesla); industrial pilots (Figure, Apptronik)",Internal factory automation / industrial pilot,early-production,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,"Tesla deployed 1,000+ Optimus Gen 3 units into its own factories starting January 2026, with a stated ~100,000-unit 2026 target and 1-million/year target by 2028 (gap flagged between target and observed production: Fremont Model S/X line conversion to Optimus assembly mid-2026, initial units to internal training, commercial production timeline slipped toward late July/August 2026); Figure AI surpassed 10,000 deployments across partner warehouses; Apptronik closed a $5.3B Series A (Feb 2026, $6.2B post-money) and partners with Mercedes-Benz, NASA and Jabil.",https://www.rivcut.com/manufacturing-news/humanoid-robot-factories-2026/,industry publication,2026,Paraphrase captured directly in the Raw claim / fact column above (see Source URL for original wording).,medium,fact,"Tesla's stated 100,000-unit 2026 target vs. actual observed production (units 'targeted' for late July/August 2026, not confirmed shipped) is a gap between company claim and independent verification — flagged, not resolved.",Meaningfully deepens Pass-1's single Figure/Agility-focused humanoid coverage with Tesla- and Apptronik-specific production-capacity data and an explicit target-vs-actual gap flag.
R122,2026-09-19,unknown,"Multiple (industrial arm, cobot, humanoid)",unknown,unknown,N/A,Motion / actuator,Lubrication (reducer/gearbox grease),unknown,unknown,"Nabtesco (JP, precision reduction gears + compatible lubricants); Baoxing (CN, BX-800/G robot noise-reducing grease)",Japan (Nabtesco); China (Baoxing),unknown,unknown,"Industrial robot reducers, gearboxes, pivot bushings and bearings require periodic grease lubrication; formulations must resist oil/thickener separation under high G-forces at coupling points; Nabtesco (Japan) makes both hollow-shaft and compact precision reduction gears for robotics; Baoxing's BX-800/G series is a named Chinese noise-reducing grease widely used in robot reducers, motors and gearboxes.",https://www.lubesngreases.com/magazine/26_6/robots-need-lubes-too/,industry publication,unknown,Paraphrase captured directly in the Raw claim / fact column above (see Source URL for original wording).,medium,fact,No US-specific robot-lubricant manufacturer identified in this pass.,Closes the 'lubrication' line item explicitly named in the issue's example Motion-subsystem component chain (previously unaddressed).
R123,2026-09-19,unknown,"Multiple (industrial arm, cobot, humanoid)",unknown,unknown,N/A,Motion / actuator,Shaft / coupling / fastener,unknown,unknown,unknown,unknown,unknown,unknown,"Shaft couplings in robot joints use O-ring-sealed grease chambers for lubrication; the issue's named Motion-chain items (shaft, fastener) are treated in available sources primarily as generic precision-machined/off-the-shelf hardware rather than robotics-specific branded components -- no dedicated 'robot fastener' or 'robot shaft' market report or manufacturer ranking was located distinct from general CNC/bearing/coupling suppliers already logged.",https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11424661,"patent filing (background/context, not a market source)",unknown,Paraphrase captured directly in the Raw claim / fact column above (see Source URL for original wording).,low,inference,"Confirmed as a genuine coverage gap: no distinct shaft/fastener-for-robotics market or supplier-base source found, separate from general CNC-machining/bearing coverage already in this dataset. Logged explicitly rather than silently substituting general fastener-industry data.","Explicit negative-finding record for 'shaft'/'fastener' as distinct BOM line items named in the issue's example chain, per the raw-data instruction not to fabricate coverage."
R124,2026-09-19,US,Multiple,Manufacturing sector (all industries),Industrial robot installation (primary IFR data),commercial,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,"US industrial robot installations rose 11% year-on-year to 38,000 units in 2025 per IFR; automotive remains the largest adopter at 13,500 units (-1% YoY); food-industry adoption surged 30%, reaching ~3,000 installations alongside metal/machinery and electrical-electronics (~3,000 each); US robot density is 307 industrial robots per 10,000 manufacturing employees; global installations grew 15% to a record 621,000 units; World Robotics 2026 full report scheduled for publication 24 September 2026.",https://ifr.org/ifr-press-releases/news/us-robot-industry-returns-to-double-digit-growth,industry standards body (IFR),2026,Paraphrase captured directly in the Raw claim / fact column above (see Source URL for original wording).,high,fact,"Full World Robotics 2026 report (with AU-specific figures) not yet published as of this pass's search date -- flagged for follow-up after Sept 24, 2026.","Primary IFR source, directly matching the issue's stated source preference; strengthens Pass-1's IFR citations with 2025-installation-year granularity by sector."
R125,2026-09-19,AU,Mining / autonomous haulage robot,"Iron ore / copper mining operators (Rio Tinto, BHP, FMG)",Autonomous haul truck / drilling rig fleet,commercial,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,"Rio Tinto operates 130+ autonomous Komatsu 930E haul trucks (320t loaded) across Pilbara (WA) iron-ore operations, running 24/7 with no onboard driver; Rio Tinto, BHP and FMG together operate the world's largest autonomous-vehicle fleets, hauling billions of tonnes of iron ore with no human drivers; Australia is described as 'the undisputed world leader' in autonomous mining, operating at a scale/sophistication no other country has matched; Pilbara hosts hundreds of AI-driven haul trucks and remote-operated drilling rigs.",https://www.miningdoc.tech/2026/04/28/from-one-truck-to-thousands-the-global-rise-of-autonomous-mining/,industry publication,2026-04,Paraphrase captured directly in the Raw claim / fact column above (see Source URL for original wording).,high,fact,No supply-chain/component-level (subsystem/BOM) detail for autonomous haul trucks located in this specific search round -- flagged for a follow-up pass if this category is pursued further.,"New category added beyond the issue's named 8, per the issue's explicit allowance ('khong gioi han 8 nhom neu research phat hien category quan trong khac o US/AU') -- mining automation is a globally-leading AU-specific robotics category with no US equivalent at this scale, a materially important market-map fact."
R126,2026-09-19,AU,Mining / autonomous haulage robot,"Copper mining operator (BHP, Chile -- included as comparable operational benchmark)",Fully autonomous open-pit mine site,commercial,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,"BHP announced (Jan 2026) that its Escondida Norte copper pit is fully autonomous: 33 trucks and 11 drills operate 24/7, moving ~350,000 tonnes/day (30% of site output); BHP, Rio Tinto and Caterpillar launched a trial of two Cat 793 XE Early Learner battery-electric haul trucks at a WA Pilbara mine site in 2026 as an industry-first collaboration.",https://www.sec.gov/Archives/edgar/data/0000863064/000086306426000033/ex7d23caterpillar_mr.htm,SEC filing (company official disclosure),2026,Paraphrase captured directly in the Raw claim / fact column above (see Source URL for original wording).,high,fact,"Escondida Norte is in Chile, not AU/US -- included as a directly comparable operational data point from the same named AU-active operator (BHP), not as an AU-market fact itself.",
R127,2026-09-19,US,Multiple,unknown,unknown,N/A,unknown,"Industrial robot (finished unit, HTS import)",unknown,unknown,unknown,unknown,unknown,Chinese industrial robots imported into the United States remain subject to Section 301 tariffs at 25% of customs value as of Q1 2026.,"US Census Bureau Foreign Trade data (census.gov/foreign-trade) provides monthly merchandise import data by HTSUSA code, country of origin and customs district, enabling commodity-level tracking of industrial-robot imports; total US goods imports from China were $18,955.6M (Feb 2026), $21,057.9M (Jan 2026) and $21,104.3M (Dec 2025) -- whole-economy figures, not robot-specific.",https://www.evsrobot.com/import-industrial-robots-from-china-shipping-customs-guide.html,industry publication (customs/trade guide),2026,Paraphrase captured directly in the Raw claim / fact column above (see Source URL for original wording).,medium,fact,"No robot-specific (HTS 8479.50 or similar code) import-volume/value figure was extracted in this pass -- the Census Bureau source exists and is named/linked, but commodity-level robot-only figures were not retrieved; flagged for a dedicated customs-data follow-up query.",
R128,2026-09-19,Global,Maker / hobby / education robot,Hobbyist CNC/3D-printing community,Hobby fabrication tool choice,N/A,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,"In a survey of 300+ hobby CNC enthusiasts, CNC mills/routers made up ~70% of machines owned, with 3D printers and lathes following as secondary choices.",https://www.cnccookbook.com/heres-scoop-machines-hobby-cncers-theyre-making/,industry publication / community survey,unknown,Paraphrase captured directly in the Raw claim / fact column above (see Source URL for original wording).,low,fact,"Survey is of hobby-CNC enthusiasts specifically, not the broader maker/hobby robotics community, and not US/AU-segmented -- so this is the closest quantitative data found but does not fully close Pass-1 gap #8 (robot-specific 3D-printing-vs-CNC share); logged as a partial, imperfect answer rather than silently treated as definitive.","Best available quantitative proxy located for Pass-1 gap #8; explicitly flagged as a proxy, not a direct answer."
R129,2026-09-19,Global,Humanoid / general-purpose,unknown,unknown,N/A,End-effector,Dexterous hand actuator (tendon-drive / direct-drive / linkage),unknown,unknown,"LinkerBot (CN); AGILINK (CN); 1X Technologies (NO/US, tendon-drive with polymer tendons); Schaeffler (DE, two-stage planetary gear actuator, CES 2026)","China (LinkerBot, AGILINK dominant); Norway/US (1X); Germany (Schaeffler)","LinkerBot holds 80%+ global market share in high-DoF dexterous hands and is the only company producing 1,000+ high-DoF hands/month as of this pass, covering tendon-drive, direct-drive and linkage approaches (full technology-route coverage); LinkerBot targets 50,000-100,000 units delivered in 2026; AGILINK has shipped 8,000 hands; China's overall humanoid-robot output is set to nearly double in 2026, led by Unitree and AgiBot.",unknown,"1X Technologies plans 10,000 hands in 2026 using tendon-drive actuator packs with polymer tendons instead of rigid gearboxes; Schaeffler's CES 2026 actuator (two-stage planetary gear, 60-250 Nm) is engineered to cover roughly half of a humanoid robot's total actuator content; the source explicitly recommends humanoid OEMs 'identify a second qualified actuator source' in 2026 before the market consolidates to 2-3 winners -- itself a China-dependency-risk signal.",https://robotics.techbuzzchina.com/reports/robot-hands-china.html,industry publication (China-focused robotics tracker),2026,Paraphrase captured directly in the Raw claim / fact column above (see Source URL for original wording).,medium,fact,No comparable US-based high-volume dexterous-hand manufacturer identified in this pass.,"Substantially deepens humanoid End-effector coverage beyond Pass-1's generic gripper-market data with named, dated, China-concentration-quantified suppliers specific to humanoid hands."
R130,2026-09-19,US,Multiple,unknown,unknown,N/A,Mechanical structure / Motion / actuator,Precision-machined structural/motion parts (CNC),unknown,CNC milling / turning,unknown,unknown,unknown,"US manufacturers are increasingly evaluating CNC reshoring in 2026 because true landed cost includes freight, tariffs, inventory, long lead times, engineering-change cost, quality problems, production interruption and working-capital/supply-chain risk, not just per-part price; domestic proximity to the US customer is cited as the strongest reshoring argument, avoiding ocean-freight/port/customs uncertainty.","US industrial robot installations grew 11% in 2025 to 38,000 units after two consecutive years of decline, described in-source as a driver of increased CNC-robotics-parts sourcing activity; CNC-machined robotic parts are characterized as moving 'from a niche purchasing category into a serious sourcing priority in 2026.'",https://leweiprecision.com/cnc-machining-reshoring-usa/,industry publication,2026,Paraphrase captured directly in the Raw claim / fact column above (see Source URL for original wording).,medium,fact,No quantified reshored-volume or reshored-dollar-value figure located.,Extends Pass-1's R052/R053 CNC cost-comparison records with a 2026 reshoring-rationale (total landed cost) angle rather than raw per-part price alone.
R131,2026-09-19,unknown,Multiple,unknown,unknown,N/A,unknown,"Frame / gears / end effectors / motor components (steel, stainless steel)",Carbon steel; stainless steel; engineering/alloy steel,unknown,unknown,unknown,unknown,unknown,"Stainless steel is confirmed (qualitatively) as widely used in robotics frames, gears, end-effectors and motor components for strength/toughness/corrosion-and-temperature resistance; for industrial robotics, aluminum/iron/carbon steel are used for body parts while engineering/alloy/high-alloy rolled steel (including stainless) is used for drive-system components; no source in this pass provided a quantified BOM-percentage breakdown.",https://www.protolabs.com/en-gb/resources/blog/materials-that-command-the-robotics-industry/,industry publication / company site,unknown,Paraphrase captured directly in the Raw claim / fact column above (see Source URL for original wording).,low,inference,"Confirms Pass-1 gap #4 remains open: still no source-quantified steel/stainless-steel BOM-share figure found across two full research passes -- logged again explicitly as a persistent, real gap rather than silently dropped.","Second-pass confirmation of a known unresolved gap, not new data -- kept as a distinct record per the instruction to log searches performed and their (negative) outcome rather than omit them."
R132,2026-09-19,unknown,Multiple,unknown,unknown,N/A,Perception / sensor,Machine vision camera / 2D-3D imaging sensor,unknown,unknown,Cognex (US); Keyence (JP); Basler (DE); Teledyne Technologies (US); Omron (JP),"US (Cognex, Teledyne); Japan (Keyence, Omron); Germany (Basler)",unknown,unknown,"Machine Vision Camera Market valued at US$4.55B in 2026, growing at 8.3% CAGR to US$10.1B by 2036 (broader machine-vision-system market: US$15.83B in 2025 to US$23.63B by 2030); Cognex (US) and Keyence (Japan) together hold close to half the global machine-vision market; top 5 (Cognex, Keyence, Teledyne, Basler, Omron) collectively control a further 20-30%.",https://www.wevolver.com/article/top-vision-systems-for-manufacturing-in-2026,industry publication,2026,Paraphrase captured directly in the Raw claim / fact column above (see Source URL for original wording).,medium,fact,"No China-based machine-vision-camera manufacturer identified with comparable global share in this pass -- unlike LiDAR/battery/bearing, machine vision appears US/Japan/Germany-led; logged as a specific negative China-advantage finding for this component.",
R133,2026-09-19,unknown,Multiple,unknown,unknown,N/A,Compute / controller,PLC / industrial PC controller,unknown,unknown,"Siemens (DE, ~31% PLC share); Rockwell Automation (US, ~21.6%); Mitsubishi Electric (JP, ~13.9%); Schneider Electric, ABB, Omron, Beckhoff, Delta Electronics, Emerson, Honeywell","Germany/US/Japan (The Big Three: Siemens, Rockwell, Mitsubishi); Beckhoff/B&R noted as IPC-based-PLC segment leaders",unknown,unknown,"Siemens holds ~31% global PLC market share, Rockwell Automation ~21.6%, Mitsubishi Electric ~13.9% (the 'Big Three' collectively >65%); Beckhoff Automation (Germany, EtherCAT originator) leads the industrial-PC-based-PLC segment specifically, a different niche from traditional embedded PLC.",https://smtmachineline.com/top-10-plc-brands-key-advantages/,industry publication,unknown,Paraphrase captured directly in the Raw claim / fact column above (see Source URL for original wording).,medium,fact,"No China-based PLC/controller manufacturer identified among leaders in this pass -- Delta Electronics (Taiwan) is the closest East Asian challenger named, not mainland China.",
R134,2026-09-19,unknown,Multiple,unknown,unknown,N/A,unknown,SLAM navigation software/hardware (AMR localization),unknown,unknown,"ABB (CH/SE, Visual SLAM); Kudan (JP, KdVisual) + ADLINK (TW, ROScube Pico controller); SIGMATEK (AT, SlamLoc); Shanghai Slamtec (CN, 360-degree LiDAR); Omron Adept (JP)","Global mix: Switzerland/Sweden, Japan, Taiwan, Austria, China","Shanghai Slamtec (China) is named as a SLAM/LiDAR hardware supplier launching new 360-degree LiDAR products for AMR navigation in this period; SLAMcore partnered with 4 semiconductor manufacturers to integrate embedded SLAM accelerators; Omron Adept expanded AMR production capacity 25% in Japan (non-China capacity expansion, logged for contrast).",unknown,"Simultaneous Localization and Mapping (SLAM) Market sized at US$485.3M in 2026, projected to reach US$7,572.32M by 2035; named suppliers span ABB (Visual SLAM), Kudan/ADLINK (Visual + 3D-LiDAR SLAM), SIGMATEK (contour-based SlamLoc), and Shanghai Slamtec (China, 360-degree LiDAR hardware).",https://markwideresearch.com/simultaneous-localization-and-mapping-slam-market,market research report,2026,Paraphrase captured directly in the Raw claim / fact column above (see Source URL for original wording).,low,fact,No single-country market-share breakdown for SLAM software/hardware located.,
R135,2026-09-19,US,Multiple,VC-backed robotics/humanoid startups,Startup funding (2026 aggregate),N/A,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,"Global robotics-startup funding reached US$18.8B in 2026 (vs US$15B for the full year 2025); some trackers report robotics companies raising as much as US$55.8B in 2026 depending on methodology (kept as a separate, materially different figure per the raw-data rule, not merged/averaged); humanoid-robot startups alone raised US$8.6B in 2026, 1.8x all of 2025; the US leads humanoid-startup funding with US$3.02B and 28 startups (vs China's 26); Figure AI has raised ~US$2.34B (US$39B valuation); Apptronik raised a $520M Series A Extension; Skild AI raised $1.4B.",https://news.crunchbase.com/robotics/startup-venture-funding-surges-2026-data/,industry publication / financial data,2026,Paraphrase captured directly in the Raw claim / fact column above (see Source URL for original wording).,medium,fact,Two materially different total-robotics-funding figures ($18.8B vs $55.8B) found in the same search round for the same year -- both kept as separate records per the 'do not merge contradictory sources' rule (mirrors Pass-1 gap #9's cobot-market-size pattern).,Directly extends Pass-1's US-only startup-funding data with the humanoid-specific and US-vs-China startup-count comparison the issue's research chain calls for.
R136,2026-09-19,AU,Service robot,Aged-care residential facility operator (mecwacare),Companion / eldercare robot,commercial,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,"Andromeda Robotics (Melbourne) and mecwacare completed Australia's largest rollout of humanoid companion robots in aged care: 22 'Abi' robots operating full-time across all mecwacare residential homes, supporting 1,500+ residents; Abi is fluent in 90 languages, recognizes faces, remembers past conversations, and participates in group activities; positioned explicitly as working alongside care staff, not replacing them.",https://hellocare.com.au/australias-largest-rollout-of-humanoid-companion-robots-signals-new-era-in-aged-care/,industry publication,2026,Paraphrase captured directly in the Raw claim / fact column above (see Source URL for original wording).,high,fact,Unit cost / commercial contract value not disclosed in this source.,"This is the concrete, named, quantified AU deployment referenced qualitatively in Pass-1's README gap #1 ('AU humanoid activity concentrated in aged care/companionship') -- Pass 2 supplies the specific company, scale (22 units/1,500 residents) and named partner facility operator that Pass 1 lacked."
R137,2026-09-19,Global,Inspection / field robot,Offshore energy / subsea infrastructure operators,Underwater ROV/AUV inspection,commercial,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,"Offshore AUV/ROV market valued at US$4.11B in 2026, projected to reach US$6.78B by 2031 (10.54% CAGR); Oceaneering International holds ~22% global market share; other named leaders: Teledyne Technologies, Kongsberg Gruppen, Saab Seaeye, Fugro; North America is named as a significant region for this sector (not further quantified).",https://www.mordorintelligence.com/industry-reports/offshore-auv-rov-market,market research report,2026,Paraphrase captured directly in the Raw claim / fact column above (see Source URL for original wording).,medium,fact,No AU-specific underwater-ROV adoption or supply figure located (relevant given AU's offshore oil/gas and marine-infrastructure base) -- flagged gap.,Adds underwater ROV/AUV as an inspection/field-robot sub-category not previously represented in Pass 1.
R138,2026-09-19,US,"Multiple (humanoid, cobot, AMR)",unknown,unknown,N/A,Motion / actuator,Reducer (harmonic drive / strain-wave gear) -- US domestic manufacturing,unknown,unknown,"Harmonic Drive LLC (Beverly, MA, US subsidiary of the Japan-originated Harmonic Drive Group); Cone Drive (US, Harmonic Solutions strain-wave gearing); Sumitomo Drive (US operations, strain-wave/harmonic gearboxes)","US (Harmonic Drive LLC, Cone Drive, Sumitomo Drive US)",unknown,unknown,"Harmonic Drive LLC (Beverly, Massachusetts) is a US-based manufacturing/sales entity of the Japan-originated Harmonic Drive Group, producing zero-backlash strain-wave gears domestically; Cone Drive (US) and Sumitomo Drive (US operations) are additional named US-based strain-wave-gearbox suppliers.",https://www.harmonicdrive.net/,company official site,unknown,Paraphrase captured directly in the Raw claim / fact column above (see Source URL for original wording).,medium,fact,No US-vs-China or US-vs-Japan reducer production-volume comparison located to quantify how much of US demand these domestic entities actually serve vs. imports.,Directly extends Pass-1's R031 (Harmonic Drive Group's multi-country legal structure) with confirmation of actual US manufacturing presence (not just a sales entity) -- relevant to the issue's 'US local capacity' evidence requirement for this named component.
