query_id,sub_id,manufacturing_sub,query,market,query_dimension,intent_class,SERP_result_type_summary,giant_platform_presence,specialist_manufacturer_presence,observed_competitor_domains,evidence_urls,notes
Q042,APP07,exoskeleton parts,exoskeleton parts manufacturer custom machining,US,application,technical-commercial,"Multiple dedicated case-study/blog pages from one specialist (WayKen, 3 separate URLs) plus a supplier directory (Made-in-China)",Made-in-China functions as a supplier directory/marketplace here,"strong but concentrated in one vendor (WayKen) rather than broadly fragmented - also Bang Design, PartsBadger",waykenrm.com; bangid.com; made-in-china.com; accio.com,https://waykenrm.com/case-studies/custom-manufacturing-and-solutions-with-exoskeleton-robot-components/ ; https://bangid.com/knowledge-base/custom-machined-exoskeleton-robot-engineering-precision-for-human-augmentation/,"Real, technically distinct niche (medical/rehab-leaning) but SERP concentration in one competitor (WayKen holds 3 of 9 results) suggests less fragmentation than other objects - still viable but flagged as more concentrated competitively."
Q043,APP06,ROV/underwater robot parts,underwater robot parts manufacturer custom machining,US,application,technical-commercial,Fragmented specialist cluster: a scaled subsea-robot brand (Blue Robotics) plus multiple dedicated CNC machining pages,"Blue Robotics functions as a scaled vertical-specific brand/retailer, not a general marketplace","strong - Runsom, Jucheng Precision, VMT, Blue Robotics (as buyer-facing brand)",bluerobotics.com; runsom.com; vmtcnc.com; nauticusrobotics.com,https://bluerobotics.com/ ; https://www.runsom.com/blog/underwater-robots-cnc-machining-for-sealing-corrosion-resistance-pressure-tolerance/,"Strong application-level page candidate, natural parent for the ROV/pressure-housing object page (OBJ18) with real overlapping technical content (sealing, corrosion resistance, pressure tolerance)."
Q044,PRB03,5-axis machining for robot parts,5-axis machining robot parts,US,process,mixed,Mix of general 5-axis-machining explainer content (not robot-specific) and 2 robot-part-specific supplier pages,none observed,"moderate - jlccnc.com, jsdcncmachining.com robot-specific; rest are generic 5-axis explainers",jlccnc.com; jsdcncmachining.com; cambridgeprecision.com; jacoworks.com,https://jlccnc.com/blog/customized-cnc-parts-for-robots ; https://www.jsdcncmachining.com/customize-5-axis-precision-machining-robot-arm-component-cnc-parts-product/,"Real process dimension, but SERP shows generic 5-axis education content dominates over robot-specific content - to justify a distinct page needs strong technical substance (setup strategy, geometry) tied specifically to robot part families, not a generic '5-axis explainer' with 'robot' inserted."
Q045,PRB04,tight-tolerance robot machining,tight tolerance robot parts machining,US,process,mixed,"Mostly GENERIC tight-tolerance-machining content (aerospace/medical/automotive), one robot-specific hit (PartMFG)",none observed,weak-moderate - PartMFG is the only clearly robot-specific dedicated page,partmfg.com; ptsmake.com; summitcnc.com; criterionprecision.com,https://www.partmfg.com/precision-cnc-machining-for-custom-robotic-parts/ ; https://www.ptsmake.com/tight-tolerance-cnc-machining-key-insights-for-precision-success/,Tight-tolerance-machining-for-robots does not yet have a deep dedicated-content niche the way joint-housing or gripper-jaw machining does; most tight-tolerance content is generic multi-industry. A page here would need to supply the robot-specific technical substance itself rather than relying on the SERP pattern already existing.
Q046,PRB05,robot-parts inspection/CMM,robot parts inspection CMM report manufacturer,US,process,weak/mixed,"Dominated by generic CMM-equipment vendors (Keyence, Hexagon, Mitutoyo-adjacent) and robotic-CMM-AUTOMATION content, not robot-PARTS-inspection-service content",none observed,"weak - CARR Machine & Tool is the closest dedicated 'CMM inspection service' hit, not robot-specific",keyence.com; hexagon.com; carrmachine.com; gd-prototyping.com,https://carrmachine.com/capabilities/cmm-inspection/ ; https://www.gd-prototyping.com/cmm-inspection-report-checklist/,"This query mostly surfaces CMM EQUIPMENT and automated-CMM-tending content, not a distinct 'inspection service for robot parts' buyer intent. Weak standalone-page case as phrased; if built, should be reframed as part of a broader QC/AS9102-style page tied to specific object pages rather than a standalone generic inspection page."
Q047,PRB06,prototype-to-production robot parts,prototype to production robot parts manufacturer,US,lifecycle,technical-commercial,Same set of scaled contract-manufacturing platforms and dedicated /robotics/ pages seen in Q037/Q040,"YES - Xometry, Fictiv, Xometry Europe present again as scaled platforms","present - 3ERP, DakingsRapid (2 URLs), Fathom, xmake.com, Premium Parts",3erp.com; fictiv.com; xometry.com; fathommfg.com; dakingsrapid.com; xmake.com,https://fathommfg.com/robotics-industry ; https://www.dakingsrapid.com/robot-manufacturing-guide/,"Near-total overlap with Q037 (robot prototype/low-volume) and Q040 (industrial robot custom parts) - same competitor set, same platforms. Strong candidate for MERGING with Q037 into a single 'prototype-to-production robot manufacturing' problem-level page rather than 3 separate pages (see cannibalization-map)."
Q048,XCUT01,cross-cutting (China+AU supply signal),robot parts CNC machining China supplier Australia,US,supplier,commercial,Chinese contract-manufacturer listicle/directory pages that explicitly claim to ship to/serve Australia; no Australia-based supplier surfaced,"none observed as a marketplace, but several are large-catalog China contract manufacturers functioning like mini-platforms (VMT 'Top 10' listicle, YUANYI 'Top 10' listicle)","present - Senze Precision, VMT, Xinqida, HLH Rapid",senzeprecision.com; vmtcnc.com; xinqidamachining.com; openpr.com,https://www.senzeprecision.com/robot-cnc-machining-parts/ ; https://vmtcnc.com/top-10-robot-parts-manufacturers-in-china/,"AU signal here is only 'ships to Australia' claims by China-side suppliers, not evidence of Australia-originated buyer search behavior. Confirms the China-supply side is not the constraint; the AU DEMAND side remains the open question (see Q049)."
Q049,XCUT02,cross-cutting (AU demand signal),custom robot parts manufacturer Australia,AU,supplier,weak/mixed(wrong-segment),"Dominated by Australian ROBOT INTEGRATORS (sell/install industrial robot arms) and hobby/education retail, not CNC-manufacturing-service specialists","one Alibaba content/guide page ranks (product-insights article, not a listing)","weak - Automated Solutions Australia and The Robot Factory are integrators, not machining RFQ services; Compass Anvil is the one plausible analog (robotics metal-components sourcing)",automatedsolutions.com.au; therobotfactory.com.au; robotgear.com.au; compass-anvil.com; core-electronics.com.au,https://automatedsolutions.com.au/custom-manufacturing/ ; https://www.compass-anvil.com/robotics-metal-components,"IMPORTANT AU FINDING: adding an explicit 'Australia' qualifier to the query does NOT surface AU-based specialist CNC-for-robot-parts competitors comparable to the US/China specialist cluster - it surfaces robot-arm INTEGRATORS and hobby retail instead. This is consistent with either (a) genuinely thinner AU-specific search volume for this exact buyer intent, or (b) AU buyers searching the same generic technical terms as US buyers rather than adding 'Australia' to their query (which the WebSearch tool, US-localized per its own documentation, would not reliably surface anyway). Labeled UNKNOWN which explanation dominates - flagged in market-summary.md."
Q050,XCUT03,cross-cutting (broad platform-dominance check),custom manufacturing RFQ CAD quote China supplier robotics parts,US,service,commercial(giant-platform-dominated),Entirely large B2B sourcing/quoting PLATFORMS and generic how-to-quote content; zero specialist single-shop pages,"YES - Alibaba (named with 200,000+ suppliers), Xometry, Haizol (300,000+ users), MFG.com all present",none - no small/specialist manufacturer ranks for this broad phrasing,alibaba.com; xometry.com; haizol.com; en.wikipedia.org (MFG.com); specspro.com; partzpro.com,https://www.xometry.com/production-order-rfq/ ; https://www.haizol.com/services/cnc-machining-china,"Confirms the issue's caution directly: broad generic 'CAD/RFQ/China manufacturing' phrasing is unambiguously giant-platform-dominated (Alibaba, Xometry, Haizol, MFG.com). This confirms such broad terms should NOT be a primary pilot-page target; object-first and problem-first framings (see OBJ*/PRB* rows) are where fragmentation and specialist visibility actually exist."
Q051,OBJ01,robot joint housing,robot joint housing RFQ quote CAD upload,US,rfq_quote,technical-commercial,"CNC-shop RFQ-intake guidance and generic RFQ-template articles; one robotics-specific note naming H7/h7,k6 fits and coaxiality/runout for joint parts",none observed,moderate - RFQ-process content is largely generic CNC guidance rather than joint-housing-specific vendor pages,machineresearch.com; uneedpm.com; cncmachining-services.com; bailliefab.com,https://machineresearch.com/automated-rfq-uploads/ ; https://www.cncmachining-services.com/robot-joint-types-guide/,"RFQ/quote framing pulls mostly generic CNC-RFQ how-to content rather than joint-housing-specific vendor pages, but the one robotics-specific snippet found reinforces the same H7/h7,k6 + coaxiality language already seen in Q001-Q003."
Q052,OBJ01,robot joint housing,custom robot joint housing fabrication service,US,process,technical-commercial,"Dedicated CNC job-shop pages for robot joint housings, several offering prototype-through-production",none observed,"strong - CNC-Explore, JADE CNC, Zintilon, Norck Robotics, CSMFG",cnc-explore.com; jadecnc.com; zintilon.com; norckrobotics.com; supply.csmfg.com,https://www.cnc-explore.com/product/custom-robot-parts-manufacturer/ ; https://www.jadecnc.com/precision-cnc-machining-for-robot-joint-housings/,"Confirms Q003's finding with a differently-worded query: 'fabrication service' framing still returns a fragmented, specialist-dominated SERP, no giant platform."
Q053,OBJ01,robot joint housing,robot joint housing supplier precision machining,US,supplier,technical-commercial,CNC job-shop pages and one trade-press explainer on CNC-machined robot components; no assembled-joint-module sellers this time,none observed,"strong - JADE-CNC, Matson Metal China, YUANYI (top-10 listicle)",roboticsandautomationnews.com; jadecnc.com; matsoncorp.com; yycncmachining.com,https://www.jadecnc.com/robotics/ ; https://www.yycncmachining.com/top-10-cnc-machining-companies-for-robot-parts/,"Unlike Q002 ('joint housing manufacturer', which collapsed to integrated-module sellers), adding 'precision machining' to 'supplier' keeps the SERP on machining-service shops - qualifier wording matters, not just presence of the word supplier/manufacturer."
Q054,OBJ01,robot joint housing,humanoid robot joint housing machining service,US,application,technical-commercial,"Dense cluster of humanoid-specific CNC joint-housing content, several 2026-dated vendor articles on 5-axis one-piece machining",none observed,"strong - ptsmake, DAXIN, XINQIDA, CARR Machine & Tool, Runsom, Getzshape",ptsmake.com; daxincnc.com; xinqidamachining.com; carrmachine.com; runsom.com,https://www.xinqidamachining.com/humanoid-robot-joint-housing-cnc-machining-2026-five-axis-integrated-manufacturing-solution/ ; https://carrmachine.com/industries/humanized-robotics/,"Humanoid-application framing is the single strongest new-dimension result for OBJ01 - large, current, technically detailed specialist cluster."
Q055,OBJ01,robot joint housing,robot joint housing prototype to production machining,US,lifecycle,technical-commercial,Mix of CNC-vs-die-casting production-scaling articles and the same joint-housing specialist pages; one generic industrial-robot-parts guide (HDProto),none observed,"moderate-strong - JADE CNC repeat hit, HDProto guide, casting-yz.com scaling article",jadecnc.com; hdproto.com; casting-yz.com; matsoncorp.com,https://www.jadecnc.com/precision-cnc-machining-for-robot-joint-housings/ ; https://hdproto.com/blog/industrial-robot-parts-guide/,"Lifecycle framing confirms prototype-to-production is a real buyer question for this object, cross-referencing PRB_A rather than contaminating OBJ01."
Q056,OBJ02,robot actuator housing,robot actuator housing RFQ quote CAD,US,rfq_quote,technical-commercial,"RivCut multi-city actuator-housing pages plus general CNC-RFQ guidance; one dedicated actuator-focused RFQ vendor (Tronix3D) and a competing named-brand OEM (QDD Motors, an assembled-actuator seller)",none observed,"strong - RivCut (3 cities), DAXIN, Linkup Precision",linkupprecision.com; rivcut.com; daxincnc.com; tronix3d.com,https://linkupprecision.com/robotics-actuator-housing-machining ; https://www.rivcut.com/cnc-machining/denver/robotics/actuator-housings/,"QDD Motors (an assembled-actuator/module brand, same wrong-buyer pattern as INT-EXC-01) appears alongside genuine housing-machining shops - reinforces the need for the CNC-machining qualifier, consistent with Q002/Q005's finding for adjacent objects."
Q057,OBJ02,robot actuator housing,custom actuator housing fabrication service robotics,US,process,technical-commercial,"Dedicated actuator-housing CNC pages (RivCut multi-city, Yijin, JUCHENG) plus one China-based marketplace-style listing (Made-in-China)","one Made-in-China supplier-directory listing present, not a marketplace product page","strong - RivCut, Yijin Solution, JUCHENG/jcproto, XTJ",yijinsolution.com; rivcut.com; jcproto.com; xtjcnc.com; made-in-china.com,https://yijinsolution.com/robot-manufacturer-parts/humanoid/ ; https://www.jcproto.com/new/custom-robotic-gear-and-actuator-prototyping.html,"Pattern holds; Made-in-China's presence is a supplier-directory listing (B2B directory), not an Alibaba-style product-listing, so treated as a milder giant-platform-adjacent signal, not full contamination."
Q058,OBJ02,robot actuator housing,robot actuator housing supplier precision CNC,US,supplier,technical-commercial,"Multiple dedicated actuator-housing CNC supplier pages, several naming explicit tolerance capabilities",none observed,"strong - RivCut, XINQIDA, Falcon CNC Swiss, JUCHENG",rivcut.com; xinqidamachining.com; falconcncswiss.com; jccncmachining.com,https://www.falconcncswiss.com/cnc-machined-humanoid-robot-parts/ ; https://www.xinqidamachining.com/product-category/industry-parts/cnc-machined-robot-parts/,Confirms Q005's original finding does not generalize badly - adding 'precision CNC' after 'supplier' (vs bare 'manufacturer') keeps the SERP on machining shops rather than assembled-module brands.
Q059,OBJ02,robot actuator housing,humanoid actuator housing machining,US,application,technical-commercial,"Dedicated humanoid-actuator machining explainer content (design requirements, failure modes) plus DAXIN/RivCut specialist pages",none observed,"strong - DAXIN, RivCut, Firgelli (engineering guide), Yijin Solution",daxincnc.com; rivcut.com; firgelli.com; yijinsolution.com,https://daxincnc.com/resources/humanoid-robot-actuator-housing-machining/,"Humanoid-application framing again strong, consistent with OBJ01's finding - humanoid qualifier is a reliable clean-SERP dimension across both housing objects."
Q060,OBJ02,robot actuator housing,actuator housing prototype low volume manufacturing robotics,US,lifecycle,mixed,Mostly academic/additive-manufacturing prototyping papers (3D-printed modular actuators) rather than CNC-shop content; one dedicated CNC-sourcing guide,none observed,weak-moderate - SYM Precision Machining is the one dedicated CNC-sourcing guide found,symachining.com; journals.riverpublishers.com; tandfonline.com,https://www.symachining.com/robotics-actuator-housings/,"EXCEPTION (minor): lifecycle-framed query for actuator housings leans toward academic/additive-manufacturing prototyping literature rather than CNC specialist vendor content - weaker than the other 4 dimensions for this object, though not contaminated by a wrong-buyer vertical."
Q061,OBJ04,robot shaft,robot shaft RFQ quote CNC turning,US,rfq_quote,technical-commercial,"CNC-turning RFQ guidance explicitly naming shafts/bushings/pins as rotational-part categories, plus one direct shaft RFQ product listing",none observed,"moderate - generic CNC-RFQ guides that explicitly reference shaft turning, one JSK Industrial RFQ-style listing",rapiddirect.com; jskindustrial.com; worldtradhub.com; uneedpm.com,https://www.rapiddirect.com/blog/cnc-machining-rfq-guide/,"RFQ-framed query returns mostly generic CNC-RFQ how-to content that happens to reference shafts, not shaft-specialist vendor pages - weaker confirmation than Q009/Q010's original CNC-turning-qualified queries."
Q062,OBJ04,robot shaft,custom robot drive shaft fabrication service,US,process,mixed(wrong-vertical noise),"Dominated by AUTOMOTIVE driveshaft/prop-shaft fabricators (differential/vehicle driveline shops), plus one hobbyist RC-robot kit; only one named industrial-robot-servo-shaft vendor",none observed,weak for robot-specific intent - JEC (motor-shaft.com) is the one genuine robot-servo-shaft vendor found,kdmfab.com; clutchanddriveshaft.com; ricksweldingandmachine.com; motor-shaft.com; vxb.com,https://www.motor-shaft.com/custom-servo-motor-shaft-for-industrial-robot-product/,"EXCEPTION: 'custom robot drive shaft fabrication service' pulls heavy AUTOMOTIVE-driveshaft contamination (KDM, Rick's Welding, Clutch and Drive Shaft, Precision Driveline) - the same cross-industry-noise pattern seen for 'welded frame' (Q031), now shown for 'drive shaft' too. Confirms OBJ04 page copy/title must keep 'CNC turning' + 'robot'/'servo' explicit and avoid the bare 'drive shaft fabrication' phrasing."
Q063,OBJ04,robot shaft,robot shaft supplier precision turning,US,supplier,technical-commercial,"Dedicated precision-turned-shaft suppliers, several explicitly serving robotics; one hobby/FRC-adjacent hex-shaft component page",none observed,"strong - Huijue/shprecisionshaft, Dajin Precision, Minic Precision, JEC, Systrand",shprecisionshaft.com; dajinprecision.com; minicprecision.com; motor-shaft.com; systrand.com,https://www.shprecisionshaft.com/news/precision-shafts-the-core-engine-driving-the-future-of-robots-and-drones.html,Pattern reconfirmed once 'precision turning' is added back to 'supplier' - avoids both the automotive contamination of Q062 and the FRC-hobby contamination seen for other bare-object objects.
Q064,OBJ04,robot shaft,humanoid robot shaft machining,US,application,technical-commercial,Strong humanoid-specific technical content on shaft/bearing-bore tolerance stack-up and hollow-shaft cable routing,none observed,"strong - HDProto, Runsom, PTSMake, Getzshape",hdproto.com; runsom.com; ptsmake.com; getzshape.com,https://hdproto.com/cnc-machining-humanoid-robots-joint-jitter/,"Humanoid-application framing again strong and technically substantive (cumulative-tolerance/joint-jitter discussion), consistent with OBJ01/OBJ02."
Q065,OBJ04,robot shaft,robot shaft prototype to production manufacturing,US,lifecycle,technical-commercial,Fictiv/Xometry Europe robotics-manufacturing guides plus HDProto's joints/EOAT/shafts guide and DakingsRapid's robot-manufacturing guide,"Xometry Europe named as a scaled platform, alongside genuine guidance content",moderate - guides reference shaft-specific tolerance requirements even where the page itself is a multi-object hub,fictiv.com; xometry.eu; hdproto.com; dakingsrapid.com,https://hdproto.com/blog/industrial-robot-parts-guide/ ; https://www.dakingsrapid.com/robot-manufacturing-guide/,"Lifecycle framing returns hub-style guides rather than shaft-dedicated pages, but content is genuinely shaft-relevant and non-contaminated - acceptable supporting evidence, not a standalone strong signal."
Q066,OBJ07,robot bracket/mounting adapter,robot mounting bracket RFQ quote CNC,US,rfq_quote,technical-commercial,RivCut automation-bracket city pages plus multiple CNC-RFQ guides that explicitly name bracket tolerance-vs-cost tradeoffs,none observed,"strong - RivCut, fsfab.com, generic RFQ guides referencing bracket tolerancing explicitly",rivcut.com; fsfab.com; augmino.com; yhmachining.com,https://www.fsfab.com/custom-cnc-brackets/ ; https://www.rivcut.com/virginia/newport-news/cnc-machining/robotics/automation-brackets/,"Confirms Q016's finding under the RFQ/quote dimension - fragmented, specialist, no giant platform."
Q067,OBJ07,robot bracket/mounting adapter,custom robot adapter plate fabrication service,US,process,technical-commercial,"Dedicated EOAT/cobot adapter-plate specialists (EMI Corp, DRAmetal, Trimantec) plus one hobby-adjacent SuperDroid fabrication shop",none observed,"strong - EMI Corp, DRAmetal, Trimantec, Kammerer KDI",emicorp.com; drametal.com; trimantec.com; kammerer-kdi.com; superdroidrobots.com,https://www.emicorp.com/eoat-components/framing/cobot-mounting-adapters ; https://drametal.com/products/robot-end-effector-frames-adapter-plates/,"Confirms and slightly overlaps OBJ09/APP08 - adapter-plate specialists are the same cluster serving EOAT tooling, expected given the two objects' real-world adjacency."
Q068,OBJ07,robot bracket/mounting adapter,robot mounting bracket supplier CNC machining,US,supplier,technical-commercial,Multiple dedicated bracket-CNC-machining suppliers with named tolerance claims,none observed,"strong - Beska, RivCut, Machining Concepts, CNCTAL, Falcon CNC Swiss, RALLY",beskamold.com; rivcut.com; machiningconcepts.com; cnctal.com; falconcncswiss.com,https://www.rallyprecision.com/products/cnc-machined-brackets/,"Strongly reconfirms Q016 under a different query framing; no FRC/hobby contamination this time (unlike bare 'robot bracket', Q017)."
Q069,OBJ07,robot bracket/mounting adapter,cobot mounting bracket machining service,US,application,technical-commercial,"Dedicated cobot-specific mounting/tooling specialists (EMI Corp, Framing Tech, DESTACO) - genuinely cobot-scoped commercial content, distinct from Q038's contaminated 'cobot custom parts' search",none observed,"strong - EMI Corp, Framing Tech, DESTACO",emicorp.com; framingtech.com; destaco.com; cjsmachineandfab.com,https://www.emicorp.com/eoat-solutions ; https://www.framingtech.com/shop/category/kits-and-solutions-cobot-mounting-systems-108,"IMPORTANT NUANCE: unlike Q038 ('cobot custom parts manufacturer', contaminated by cobot-tending-CNC-machines intent), the narrower 'cobot mounting bracket' framing DOES surface real cobot-specific commercial content. This refines rather than overturns APP02's experimental status - the real cobot-specific demand signal found here is for mounting/tooling hardware already covered by OBJ07/OBJ09/APP08, not evidence of a broader standalone 'cobot custom parts' vertical."
Q070,OBJ07,robot bracket/mounting adapter,robot bracket prototype low volume machining,US,lifecycle,technical-commercial,"General robotics-prototyping-partner guides (BOEN, dakingsrapid) that explicitly list brackets among covered part types, plus one dedicated 5-axis bracket portfolio piece",none observed,"moderate-strong - hardwarerapid.com portfolio piece, BOEN, dakingsrapid, yycncmachining top-10",blog.boenrapid.com; hardwarerapid.com; dakingsrapid.com; yycncmachining.com,https://hardwarerapid.com/portfolio-items/5-axis-cnc-machined-robot-swing-arm-link-bracket-7075-aluminum/,"Pattern holds; lifecycle framing returns hub-style prototyping-partner content rather than bracket-dedicated pages, consistent with the general pattern that lifecycle queries tend to surface multi-object guides."
Q071,OBJ08,custom robot gripper fingers/jaws,custom gripper finger RFQ quote CNC,US,rfq_quote,technical-commercial,RivCut multi-city gripper-component pages plus GripShape's own RFQ/CNC content and generic CNC-RFQ guides referencing gripper jaws explicitly,none observed,"strong - RivCut (Milwaukee, Raleigh + hub), GripShape, DAXIN, 5th-Axis",rivcut.com; gripshape.com; daxincnc.com; 5thaxis.com,https://www.gripshape.com/resources/cnc-robot-gripper-fingers---streamlining-manufacturing ; https://daxincnc.com/resources/robot-gripper-fingers-cnc-machining-design-details-prevent-dropped-parts/,Confirms Q018/Q019 strongly under the RFQ dimension; no contamination.
Q072,OBJ08,custom robot gripper fingers/jaws,custom gripper jaw fabrication service,US,process,technical-commercial,"Dedicated gripper-jaw specialists (Zintilon, Gripper Jaws, Rohtek, EOAT.net) plus Thomasnet supplier directory","Thomasnet directory listing present, not a marketplace","strong - Zintilon, Gripper Jaws, Rohtek, EOAT.net, Fairlane/GripShape",zintilon.com; gripperjaws.com; rohtekautomation.com; eoat.net; thomasnet.com,https://www.zintilon.com/industry/robotics/custom-grippers/ ; https://gripperjaws.com/,"Confirms pattern; cleanest and most fragmented specialist cluster of the whole deepened pass, matching the original finding that gripper fingers has the strongest evidence overall."
Q073,OBJ08,custom robot gripper fingers/jaws,gripper finger supplier CNC machining,US,supplier,technical-commercial,"RivCut multi-city pages, GripShape, plus one machine-tending gripper product page (adjacent but not contamination since it's a gripper hardware vendor, not off-topic)",none observed,"strong - RivCut (5+ cities), GripShape",rivcut.com; gripshape.com; automationwithinreach.com,https://www.rivcut.com/cnc-machining/atlanta/robotics/gripper-components/,Confirms pattern; RivCut's city-permutation pattern is visible again here (see cannibalization-map row 1's caution against copying it).
Q074,OBJ08,custom robot gripper fingers/jaws,industrial robot gripper finger machining service,US,application,technical-commercial,"RivCut, GripShape/Fixtureworks, plus a named commercial gripper-brand hub (OnRobot/Robotiq) that sells complete grippers rather than custom fingers",none observed,"strong - RivCut, GripShape, Fixtureworks",onrobot.com; rarukautomation.com; robotiq.com; fixtureworks.com; rivcut.com,https://www.fixtureworks.com/store/pc/gripshape-robot-gripper-tooling-solutions-v101.htm,"Pattern holds; OnRobot/Robotiq (complete gripper-body sellers) appear alongside but are a different, complementary product category (gripper body vs. custom fingertip), not a wrong-buyer contamination - a buyer researching this query genuinely needs both, similar to how OBJ01 buyers may also see assembled-joint-module sellers."
Q075,OBJ08,custom robot gripper fingers/jaws,gripper finger prototype to production machining,US,lifecycle,technical-commercial,GripShape's own prototype-to-production configurator workflow (parasolid CAD to production-ready finger sets) plus one real-world CNC-to-3D-printing case study (CNC Würfel) citing 8-10 week traditional lead times,none observed,"strong - GripShape/Fairlane, CNC Würfel/HP case study",gripshape.com; ctemag.com; hp.com,https://ctemag.com/products/gripshape-application/ ; https://www.hp.com/us-en/printers/3d-printers/industries/industrial/cnc-wurfel.html,Strongest lifecycle-dimension result of the whole deepened pass - GripShape's own documented workflow explicitly covers prototype-through-production for this exact object.
Q076,OBJ09,EOAT machined parts / tooling plate,EOAT tooling plate RFQ quote CNC,US,rfq_quote,technical-commercial,"EOAT Machining's own RFQ-focused blog content (DFM questions, CTQ inspection points, lead-time risk) plus OneMonroe",none observed,"strong - EOAT Machining (multiple dedicated RFQ/procurement blog posts), OneMonroe",eoatmachining.com; monroeengineering.com,https://eoatmachining.com/blog/robotic-automatic-tool-changer-machining-repeatability ; https://eoatmachining.com/products,"Confirms Q020/Q021 strongly - EOAT Machining runs a dedicated RFQ/procurement content program for this exact object, some of the most bottom-funnel content found in the whole pass."
Q077,OBJ09,EOAT machined parts / tooling plate,custom tool changer plate fabrication service,US,process,mixed,"Mostly generic industrial tool-fabrication/tooling-plate builders not robotics-specific (Tosa Tool modular subplates, BlackHawk custom tool fab); no dedicated robot-tool-changer-plate vendor in this exact result set",none observed,weak for robot-specific intent in this exact framing - generic tooling-plate/fixture-plate builders dominate,tosatool.com; bhid.com; inlinefabrication.com; sourceint.com,https://tosatool.com/shop/tosa-tool-modular-subplates/custom-plate-builder/,"EXCEPTION (minor): bare 'tool changer plate fabrication service' drifts toward the much larger generic machine-tooling/subplate market rather than robot-specific EOAT content - confirms OBJ09 page copy must keep 'EOAT'/'robot end effector' explicit rather than relying on 'tool changer plate' alone, similar to the jig/fixture (OBJ19) scoping caution already in pilot-pages.csv."
Q078,OBJ09,EOAT machined parts / tooling plate,EOAT parts supplier CNC machining,US,supplier,technical-commercial,EOAT Machining's dedicated procurement/tolerance blog content plus EMI Corp and general OEM-parts CNC shops,none observed,"strong - EOAT Machining (with specific ATC repeatability tolerance data), EMI Corp, BDE",eoatmachining.com; emicorp.com; bdeinc.com,https://eoatmachining.com/blog/robotic-automatic-tool-changer-machining-repeatability,"Confirms pattern strongly - one of the cleanest, most specialist-only clusters in the whole deepened pass, consistent with the original Q020/Q021 finding."
Q079,OBJ09,EOAT machined parts / tooling plate,cobot EOAT tooling plate machining,US,application,technical-commercial,"EMI Corp cobot-specific EOAT/mounting content plus EOAT Machining's general product-family pages; cobot-specific ATC design considerations (thin-wall aluminum, low-profile) explicitly discussed",none observed,"strong - EMI Corp (cobot-specific), EOAT Machining",emicorp.com; eoatmachining.com; wiredworkers.io,https://www.emicorp.com/eoat-solutions,Confirms pattern under the cobot-application dimension too - reinforces Q069's finding that cobot-specific tooling/mounting content is real (see APP02 nuance note).
Q080,OBJ09,EOAT machined parts / tooling plate,EOAT tooling plate prototype low volume manufacturing,US,lifecycle,mixed(process-nuanced),"Dominated by 3D-printing/additive-manufacturing EOAT content (Stratasys, Formlabs, Shapeways) rather than CNC-specific prototyping content for tooling plates specifically",none observed,weak-moderate for CNC-specific intent - additive-manufacturing vendors dominate this exact framing,stratasys.com; formlabs.com; shapeways.com; juggerbot3d.com,https://formlabs.com/blog/end-of-arm-tooling-eoat-3d-printing/,"NUANCE (not contamination): for prototype/low-volume EOAT specifically, the market favors 3D printing over CNC machining according to this search - real robot-EOAT buyer intent, but points toward a different manufacturing process than the CNC/machining framing used elsewhere in this pilot. Worth noting in OBJ09 page copy (offer both CNC and possibly AM options for prototype-stage EOAT) rather than treated as an exception to the object's validity."
Q081,OBJ10,robot base/pedestal,robot base pedestal RFQ quote fabrication,US,rfq_quote,technical-commercial,"DRAmetal's own RFQ-checklist content (24-hour response target) plus Anchor Danly, PGI Steel, Vention, Industrial Profile Systems",none observed,"strong - DRAmetal (dedicated RFQ/inspection checklist), Anchor Danly, PGI Steel, Vention",drametal.com; anchordanly.com; pgisteel.com; vention.io; industrialprofile.com,https://drametal.com/products/robot-pedestals-risers/ ; https://vention.io/robot-pedestal,Confirms Q022/Q023 strongly under the RFQ dimension.
Q082,OBJ10,robot base/pedestal,custom robot pedestal welding fabrication service,US,process,technical-commercial,"Dedicated robot-pedestal welding/fabrication specialists (DRAmetal, PGI Steel) plus general robotic-welding-systems companies (a different business: robots that weld, not bases for robots)",none observed,"moderate-strong - DRAmetal, Precision Grinding/PGI Steel are the genuine pedestal-fabrication hits",drametal.com; pgisteel.com; marlinwire.com; hirebotics.com; wolfrobotics.com,https://drametal.com/products/robot-pedestals-risers/,"NUANCE: 'welding fabrication service' pulls in some general robotic-welding-SYSTEM vendors (companies that sell welding robots, not bases for robots) alongside the genuine pedestal fabricators - a keyword-ambiguity risk (welding + robot) similar to Q083's counterpart below."
